airport_numbers,location,elevation,variation,from_city,time_zone,zipcode,airport_use,activation_date,control_tower,artcc,fss,attendance,fueltype,parking,ownership1,ownership2,runway
GCK,"37-55-39.1000N 100-43-27.9000W
37-55.651667N 100-43.465000W
37.9275278,-100.7244167
(estimated)",2890.8 ft. / 881.1 m (surveyed),05E (2025),"8 miles SE of GARDEN CITY, KS",UTC -6 (UTC -5 during Daylight Saving Time),67846,Open to the public,02/1944,yes,KANSAS CITY CENTER,WICHITA FLIGHT SERVICE STATION,"0700-2100
FOR SVC AFTER HRS CALL 620-275-5055.","100LL JET-A
100LL:FOR MILITARY FUEL CALL 620-275-5055.",,7299 x 100 ft. / 2225 x 30 m,5700 x 100 ft. / 1737 x 30 m,Runway 17/35
GEG,"47-37-08.5000N 117-32-06.8000W
47-37.141667N 117-32.113333W
47.6190278,-117.5352222
(estimated)",2385 ft. / 726.9 m (surveyed),14E (2020),"5 miles SW of SPOKANE, WA",UTC -8 (UTC -7 during Daylight Saving Time),99224,Open to the public,08/1943,yes,SEATTLE CENTER,SEATTLE FLIGHT SERVICE STATION,CONTINUOUS,100 100LL JET-A,,11002 x 150 ft. / 3353 x 46 m,8199 x 150 ft. / 2499 x 46 m,Runway 3/21
GEU,"33-31-36.9000N 112-17-42.5000W
33-31.615000N 112-17.708333W
33.5269167,-112.2951389
(estimated)",1071.3 ft. / 326.5 m (surveyed),12E (1995),"6 miles W of GLENDALE, AZ",UTC -7 (year round; does not observe DST),85307,Open to the public,06/1986,yes,ALBUQUERQUE CENTER,PRESCOTT FLIGHT SERVICE STATION,0630-1930,7150 x 100 ft. / 2179 x 30 m,tiedowns,Publicly-owned,  ,Runway 1/19
GEY,"44-31-04.6000N 108-04-58.8000W
44-31.076667N 108-04.980000W
44.5179444,-108.0830000
(estimated)",3941.8 ft. / 1201.5 m (surveyed),10E (2020),"2 miles NW of GREYBULL, WY",UTC -7 (UTC -6 during Daylight Saving Time),82426,Open to the public,04/1941,no,SALT LAKE CITY CENTER,CASPER FLIGHT SERVICE STATION,UNATNDD,"100LL JET-A
A:JET A FUEL IS FULL SVC ONLY; FOR JET A CALL 307-680-4897.
100LL:FUEL 24 HR CREDIT CARD SVC AVBL 100LL ONLY.",,7003 x 150 ft. / 2135 x 46 m,3953 x 75 ft. / 1205 x 23 m,Runway 16/34
GGG,"32-23-02.4000N 094-42-41.4000W
32-23.040000N 094-42.690000W
32.3840000,-94.7115000
(estimated)",365.5 ft. / 111.4 m (surveyed),03E (2010),"8 miles S of LONGVIEW, TX",UTC -6 (UTC -5 during Daylight Saving Time),75603,Open to the public,07/1945,yes,FORT WORTH CENTER,FORT WORTH FLIGHT SERVICE STATION,0600-2100,"100LL JET-A
100LL:FOR FUEL AFT HRS CALL 903-643-8748.",,10000 x 150 ft. / 3048 x 46 m,6110 x 150 ft. / 1862 x 46 m,Runway 13/31
GIC,"45-56-33.6000N 116-07-22.9000W
45-56.560000N 116-07.381667W
45.9426667,-116.1230278
(estimated)",3313.1 ft. / 1009.8 m (surveyed),14E (2015),"1 mile N of GRANGEVILLE, ID",UTC -8 (UTC -7 during Daylight Saving Time),83530,Open to the public,11/1941,no,SEATTLE CENTER,BOISE FLIGHT SERVICE STATION,UNATNDD,Publicly-owned,"asphalt, in excellent condition",  ,CONSIDERABLE USFS FIRE RETARDENT OPERS DURG SUMMER MONTHS.,Runway 8/26
GJT,"39-07-20.7000N 108-31-36.3000W
39-07.345000N 108-31.605000W
39.1224167,-108.5267500
(estimated)",4861.4 ft. / 1481.8 m (surveyed),13E (1990),"3 miles NE of GRAND JUNCTION, CO",UTC -7 (UTC -6 during Daylight Saving Time),81506,Open to the public,04/1940,yes,DENVER CENTER,DENVER FLIGHT SERVICE STATION,"0530-0000L
FOR FUEL AFT HRS CALL 970-243-7500.",10503 x 150 ft. / 3201 x 46 m,hangars and tiedowns,5501 x 75 ft. / 1677 x 23 m,Publicly-owned,Runway 11/29
GKN,"62-09-15.6050N 145-27-19.0500W
62-09.260083N 145-27.317500W
62.1543347,-145.4552917
(estimated)",1586.1 ft. / 483.4 m (surveyed),17E (2020),"4 miles NE of GULKANA, AK
(LCTD 4 SM NE OF GLENNALLEN.)",UTC -9 (UTC -8 during Daylight Saving Time),99588,Open to the public,07/1947,no,ANCHORAGE CENTER,KENAI FLIGHT SERVICE STATION [907-283-7211],"JUN-SEP MON-FRI 0900-1700, OCT-MAY MON-FRI 1000-1500",5001 x 100 ft. / 1524 x 30 m,tiedowns,2300 x 60 ft. / 701 x 18 m,Publicly-owned,Runway 15L/33R
GLR,"45-00-46.9000N 084-42-12.4000W
45-00.781667N 084-42.206667W
45.0130278,-84.7034444
(estimated)",1328.1 ft. / 404.8 m (surveyed),06W (2000),"1 mile SW of GAYLORD, MI",UTC -5 (UTC -4 during Daylight Saving Time),49735,Open to the public,08/1945,no,MINNEAPOLIS CENTER,LANSING FLIGHT SERVICE STATION,"MAY-OCT 0730-1800, NOV-APR 0630-1700
FOR ATTENDANT AFT HRS CALL AMGR. UNATNDD THANKSGIVING, CHRISTMAS, & NEW YEARS DAY.","100LL JET-A+
100LL:SUBJ AFT HRS CALL-IN FEE.",,6579 x 150 ft. / 2005 x 46 m,4200 x 75 ft. / 1280 x 23 m,Runway 9/27
GLW,"37-01-54.3950N 085-57-13.5210W
37-01.906583N 085-57.225350W
37.0317764,-85.9537558
(estimated)",716.2 ft. / 218.3 m (surveyed),04W (2015),"2 miles NW of GLASGOW, KY",UTC -6 (UTC -5 during Daylight Saving Time),42141,Open to the public,08/1962,no,MEMPHIS CENTER,LOUISVILLE FLIGHT SERVICE STATION,"MON-SAT 0800-1700
AFT HR - 270-678-4400.",5302 x 100 ft. / 1616 x 30 m,hangars and tiedowns,Publicly-owned,  ,Runway 8/26
GMU,"34-50-52.6000N 082-21-00.0000W
34-50.876667N 082-21.000000W
34.8479444,-82.3500000
(estimated)",1048 ft. / 319.4 m (surveyed),05W (2000),"3 miles E of GREENVILLE, SC",UTC -5 (UTC -4 during Daylight Saving Time),29607,Open to the public,09/1937,yes,ATLANTA CENTER,ANDERSON FLIGHT SERVICE STATION,"SAT-SUN 0700-2000, ALL MON-FRI 0600-2100",100LL JET-A,,5393 x 100 ft. / 1644 x 30 m,4000 x 80 ft. / 1219 x 24 m,Runway 1/19
GNB,"40-05-24.2000N 105-54-59.9000W
40-05.403333N 105-54.998333W
40.0900556,-105.9166389
(estimated)",8207.1 ft. / 2501.5 m (surveyed),08E (2025),"1 mile NE of GRANBY, CO",UTC -7 (UTC -6 during Daylight Saving Time),80446,Open to the public,12/1945,no,DENVER CENTER,DENVER FLIGHT SERVICE STATION,UNATNDD,5001 x 75 ft. / 1524 x 23 m,tiedowns,Publicly-owned,  ,Runway 9/27
GNC,"32-40-31.2000N 102-39-09.6000W
32-40.520000N 102-39.160000W
32.6753333,-102.6526667
(estimated)",3314.9 ft. / 1010.4 m (surveyed),09E (2000),"3 miles S of SEMINOLE, TX",UTC -6 (UTC -5 during Daylight Saving Time),79360,Open to the public,12/1978,no,FORT WORTH CENTER,FORT WORTH FLIGHT SERVICE STATION,"MON-FRI 0800-1800, ALL SAT 0800-1200
AFT HRS SVC: EMAIL JONATHAN OR CALL 432-955-7672.",5381 x 75 ft. / 1640 x 23 m,hangars and tiedowns,5002 x 75 ft. / 1525 x 23 m,Publicly-owned,Runway 8/26
GON,"41-19-48.2000N 072-02-42.5000W
41-19.803333N 072-02.708333W
41.3300556,-72.0451389
(estimated)",9.1 ft. / 2.8 m (surveyed),14W (1980),"3 miles SE of GROTON (NEW LONDON), CT",UTC -5 (UTC -4 during Daylight Saving Time),06340,Open to the public,04/1940,yes,BOSTON CENTER,BRIDGEPORT FLIGHT SERVICE STATION,0600- 2100,5000 x 150 ft. / 1524 x 46 m,tiedowns,4000 x 96 ft. / 1219 x 29 m,Publicly-owned,Runway 5/23
GPI,"48-18-37.8000N 114-15-21.6000W
48-18.630000N 114-15.360000W
48.3105000,-114.2560000
(estimated)",2976.8 ft. / 907.3 m (surveyed),15E (2010),"6 miles NE of KALISPELL, MT",UTC -7 (UTC -6 during Daylight Saving Time),59901,Open to the public,02/1944,yes,SALT LAKE CITY CENTER,GREAT FALLS FLIGHT SERVICE STATION,CONTINUOUS,100LL JET-A,,9007 x 150 ft. / 2745 x 46 m,3510 x 75 ft. / 1070 x 23 m,Runway 2/20
GPZ,"47-12-33.4220N 093-30-35.8010W
47-12.557033N 093-30.596683W
47.2092839,-93.5099447
(estimated)",1355.7 ft. / 413.2 m (surveyed),02E (1995),"2 miles SE of GRAND RAPIDS, MN",UTC -6 (UTC -5 during Daylight Saving Time),55744,Open to the public,04/1940,no,MINNEAPOLIS CENTER,PRINCETON FLIGHT SERVICE STATION,"APR-OCT 0700-2100, NOV-MAR 0700-2000",100LL JET-A,,"5756 x 100 ft. / 1754 x 30 m
228 FT PAVED AREA AT N END.",3000 x 60 ft. / 914 x 18 m,Runway 16/34
GRB,"44-29-04.6810N 088-07-46.9680W
44-29.078017N 088-07.782800W
44.4846336,-88.1297133
(estimated)",695.1 ft. / 211.9 m (surveyed),02W (1985),"7 miles SW of GREEN BAY, WI",UTC -6 (UTC -5 during Daylight Saving Time),54313,Open to the public,12/1948,yes,MINNEAPOLIS CENTER,GREEN BAY FLIGHT SERVICE STATION,0500-2200,100LL JET-A,,8700 x 150 ft. / 2652 x 46 m,7700 x 150 ft. / 2347 x 46 m,Runway 18/36
GSO,"36-06-04.7760N 079-56-28.0420W
36-06.079600N 079-56.467367W
36.1013267,-79.9411228
(estimated)",925.5 ft. / 282.1 m (surveyed),08W (2010),"7 miles W of GREENSBORO, NC",UTC -5 (UTC -4 during Daylight Saving Time),27410,Open to the public,12/1941,yes,ATLANTA CENTER,RALEIGH FLIGHT SERVICE STATION,CONTINUOUS,100LL JET-A,,10001 x 150 ft. / 3048 x 46 m,9000 x 150 ft. / 2743 x 46 m,Runway 5R/23L
GST,"58-25-31.0000N 135-42-26.7000W
58-25.516667N 135-42.445000W
58.4252778,-135.7074167
(estimated)",36.3 ft. / 11.1 m (surveyed),20E (2015),UTC -9 (UTC -8 during Daylight Saving Time),99826,nan,Open to the public,01/1949,no,ANCHORAGE CENTER,JUNEAU FLIGHT SERVICE STATION [907-586-7380],"1 SEP-15 MAY 0600-1430, 15 MAY-1SEP FRI-MON 0930-1800, 15 MAY-1 SEP TUE-THU 0600-1800","A
A:CFM AVBL - 907-209-0305.",,6720 x 150 ft. / 2048 x 46 m,3010 x 60 ft. / 917 x 18 m,Runway 11/29
GTF,"47-28-56.2774N 111-22-13.0059W
47-28.937957N 111-22.216765W
47.4822993,-111.3702794
(estimated)",3680 ft. / 1121.7 m (surveyed),13E (2020),"3 miles SW of GREAT FALLS, MT",UTC -7 (UTC -6 during Daylight Saving Time),59404,Open to the public,04/1940,yes,SALT LAKE CITY CENTER,GREAT FALLS FLIGHT SERVICE STATION,CONTINUOUS,10502 x 150 ft. / 3201 x 46 m,hangars and tiedowns,6030 x 150 ft. / 1838 x 46 m,Publicly-owned,Runway 3/21
GTR,"33-26-53.8000N 088-35-29.0000W
33-26.896667N 088-35.483333W
33.4482778,-88.5913889
(estimated)",264 ft. / 80.5 m (surveyed),02W (2015),10 miles W of central business district of the associated city,UTC -6 (UTC -5 during Daylight Saving Time),39701,Open to the public,08/1971,yes,MEMPHIS CENTER,GREENWOOD FLIGHT SERVICE STATION,CONTINUOUS,8003 x 150 ft. / 2439 x 46 m,hangars and tiedowns,Publicly-owned,  ,Runway 18/36
GTU,"30-40-43.7000N 097-40-45.8000W
30-40.728333N 097-40.763333W
30.6788056,-97.6793889
(estimated)",789.5 ft. / 240.6 m (surveyed),06E (2000),"3 miles N of GEORGETOWN, TX",UTC -6 (UTC -5 during Daylight Saving Time),78628,Open to the public,10/1945,yes,HOUSTON CENTER,SAN ANGELO FLIGHT SERVICE STATION,0700-1900,5004 x 100 ft. / 1525 x 30 m,hangars and tiedowns,4099 x 75 ft. / 1249 x 23 m,Publicly-owned,Runway 18/36
GVT,"33-04-04.2000N 096-03-55.2000W
33-04.070000N 096-03.920000W
33.0678333,-96.0653333
(estimated)",534.9 ft. / 163.0 m (surveyed),05E (1995),"4 miles SE of GREENVILLE, TX",UTC -6 (UTC -5 during Daylight Saving Time),75402,Open to the public,07/1943,yes,FORT WORTH CENTER,FORT WORTH FLIGHT SERVICE STATION,"FRI-SAT 0730-1800, ALL SUN-THU 0730-1700","100LL JET-A
100LL:100LL SELF SVC AVBL 24 HRS.",,8030 x 150 ft. / 2448 x 46 m,Publicly-owned,Runway 17/35
GYH,"34-45-29.9260N 082-22-35.0900W
34-45.498767N 082-22.584833W
34.7583128,-82.3764139
(estimated)",955.9 ft. / 291.4 m (surveyed),04W (1985),"6 miles S of GREENVILLE, SC",UTC -5 (UTC -4 during Daylight Saving Time),29605,Open to the public,04/1943,yes,ATLANTA CENTER,ANDERSON FLIGHT SERVICE STATION,0600-1900,100LL JET-A,,8000 x 150 ft. / 2438 x 46 m,Publicly-owned,Runway 5/23
GYR,"33-25-23.8000N 112-22-31.3000W
33-25.396667N 112-22.521667W
33.4232778,-112.3753611
(estimated)",969.1 ft. / 295.4 m (surveyed),10E (2020),"1 mile SW of GOODYEAR, AZ",UTC -7 (year round; does not observe DST),85338,Open to the public,yes,ALBUQUERQUE CENTER,PRESCOTT FLIGHT SERVICE STATION,GYR (NOTAM-D service available),1968(1000) LIGHT ACFT & NON-TURBO JETS; 2468(1500) HEAVY ACFT & TURBO JETS; HELICOPTERS 1468(500).,8500 x 150 ft. / 2591 x 46 m,tiedowns,64 x 64 ft. / 20 x 20 m,Publicly-owned,Runway 3/21
GYY,"41-37-02.1000N 087-24-52.3000W
41-37.035000N 087-24.871667W
41.6172500,-87.4145278
(estimated)",596.8 ft. / 181.9 m (surveyed),02W (1990),"3 miles NW of GARY, IN",UTC -6 (UTC -5 during Daylight Saving Time),46406,Open to the public,yes,CHICAGO CENTER,TERRE HAUTE FLIGHT SERVICE STATION,GYY (NOTAM-D service available),lighted,8859 x 150 ft. / 2700 x 46 m,hangars and tiedowns,3604 x 100 ft. / 1098 x 30 m,Publicly-owned,Runway 12/30
HAF,"37-30-48.4000N 122-30-04.2000W
37-30.806667N 122-30.070000W
37.5134444,-122.5011667
(estimated)",66.3 ft. / 20.2 m (surveyed),15E (1995),"5 miles NW of HALF MOON BAY, CA",UTC -8 (UTC -7 during Daylight Saving Time),94038,Open to the public,03/1943,no,OAKLAND CENTER,OAKLAND FLIGHT SERVICE STATION,0830-1630,5000 x 150 ft. / 1524 x 46 m,tiedowns,Publicly-owned,  ,Runway 12/30
HDN,"40-28-52.3000N 107-13-03.6000W
40-28.871667N 107-13.060000W
40.4811944,-107.2176667
(estimated)",6606.3 ft. / 2013.6 m (surveyed),10E (2010),"2 miles SE of HAYDEN, CO",UTC -7 (UTC -6 during Daylight Saving Time),81639,Open to the public,no,DENVER CENTER,DENVER FLIGHT SERVICE STATION,HDN (NOTAM-D service available),lighted,10000 x 150 ft. / 3048 x 46 m,hangars and tiedowns,Publicly-owned,  ,Runway 10/28
HEF,"38-43-15.6831N 077-30-54.3643W
38-43.261385N 077-30.906072W
38.7210231,-77.5151012
(estimated)",192.3 ft. / 58.6 m (surveyed),10W (2000),"28 miles WSW of WASHINGTON, DC",UTC -5 (UTC -4 during Daylight Saving Time),20110,Open to the public,12/1964,yes,WASHINGTON CENTER,LEESBURG FLIGHT SERVICE STATION,0630-2230,100LL JET-A,,6200 x 100 ft. / 1890 x 30 m,3715 x 75 ft. / 1132 x 23 m,Runway 16L/34R
HEZ,"31-36-49.1800N 091-17-50.4080W
31-36.819667N 091-17.840133W
31.6136611,-91.2973356
(estimated)",272.4 ft. / 83.0 m (surveyed),00E (2015),"6 miles NE of NATCHEZ, MS",UTC -6 (UTC -5 during Daylight Saving Time),39120,Open to the public,12/1944,no,HOUSTON CENTER,GREENWOOD FLIGHT SERVICE STATION,0600-2000,100LL JET-A,,6500 x 150 ft. / 1981 x 46 m,5000 x 150 ft. / 1524 x 46 m,Runway 13/31
HFY,"39-37-39.4000N 086-05-16.9000W
39-37.656667N 086-05.281667W
39.6276111,-86.0880278
(estimated)",822.1 ft. / 250.6 m (surveyed),02W (1990),"10 miles SE of INDIANAPOLIS, IN",UTC -5 (UTC -4 during Daylight Saving Time),46143,Open to the public,09/1947,no,INDIANAPOLIS CENTER,TERRE HAUTE FLIGHT SERVICE STATION,"MON-SAT 0700-1900, ALL SUN 0800-1700
ATTENDANT AFT HRS CALL (317) 760-4047.",100LL JET-A,,5102 x 75 ft. / 1555 x 23 m,Publicly-owned,Runway 1/19
HIB,"47-23-11.6700N 092-50-20.3210W
47-23.194500N 092-50.338683W
47.3865750,-92.8389781
(estimated)",1353.7 ft. / 412.6 m (surveyed),02E (1995),"4 miles SE of HIBBING, MN",UTC -6 (UTC -5 during Daylight Saving Time),55746,Open to the public,04/1940,no,MINNEAPOLIS CENTER,PRINCETON FLIGHT SERVICE STATION,0600-2200,6758 x 150 ft. / 2060 x 46 m,tiedowns,3075 x 75 ft. / 937 x 23 m,Publicly-owned,Runway 13/31
HIF,"41-07-26.1840N 111-58-23.0030W
41-07.436400N 111-58.383383W
41.1239400,-111.9730564
(estimated)",4789 ft. / 1459.7 m (surveyed),14E (2000),"6 miles S of OGDEN, UT",UTC -7 (UTC -6 during Daylight Saving Time),84056,Private use. Permission required prior to landing,08/1943,yes,SALT LAKE CITY CENTER,CEDAR CITY FLIGHT SERVICE STATION,"MON-SAT 1500-0700Z++, ALL SAT-SUN 1600-0000Z++",13500 x 200 ft. / 4115 x 61 m,MAJOR,U.S. Air Force,HOOK BAK-12B(B) (2584 FT) BAK-14 BAK-12B(B) (1250 FT),Runway 14/32
HII,"34-34-16.0460N 114-21-29.7970W
34-34.267433N 114-21.496617W
34.5711239,-114.3582769
(estimated)",782.8 ft. / 239 m (estimated),13E (1985),"6 miles N of LAKE HAVASU CITY, AZ",UTC -7 (year round; does not observe DST),86404,Open to the public,05/1991,no,LOS ANGELES CENTER,PRESCOTT FLIGHT SERVICE STATION,0800-1700,8000 x 100 ft. / 2438 x 30 m,MAJOR,Publicly-owned,  ,Runway 14/32
HIO,"45-32-31.6383N 122-57-02.5988W
45-32.527305N 122-57.043313W
45.5421217,-122.9507219
(estimated)",207.9 ft. / 63.4 m (surveyed),16E (2010),"15 miles SW of PORTLAND, OR",UTC -8 (UTC -7 during Daylight Saving Time),97124,Open to the public,12/1938,yes,SEATTLE CENTER,MC MINNVILLE FLIGHT SERVICE STATION,0600-2200,100LL JET-A,,6600 x 150 ft. / 2012 x 46 m,3820 x 75 ft. / 1164 x 23 m,Runway 13R/31L
HLA,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
HLN,"46-36-24.2000N 111-58-59.8000W
46-36.403333N 111-58.996667W
46.6067222,-111.9832778
(estimated)",3877.3 ft. / 1181.8 m (surveyed),16E (1990),"2 miles NE of HELENA, MT",UTC -7 (UTC -6 during Daylight Saving Time),59601,Open to the public,04/1940,yes,SALT LAKE CITY CENTER,GREAT FALLS FLIGHT SERVICE STATION,0500-0100,100 100LL JET-A,,9000 x 150 ft. / 2743 x 46 m,4644 x 75 ft. / 1415 x 23 m,Runway 9/27
HMP,"33-23-23.6520N 084-19-51.7320W
33-23.394200N 084-19.862200W
33.3899033,-84.3310367
(estimated)",881.9 ft. / 268.8 m (surveyed),06W (2025),"2 miles W of ATLANTA, GA",UTC -5 (UTC -4 during Daylight Saving Time),30228,Open to the public,06/1970,no,ATLANTA CENTER,MACON FLIGHT SERVICE STATION,MON-FRI 0800-1700,"100LL JET-A+
100LL:FUEL 24 HR SELF-SERVE WITH CREDIT CARD. FUEL CALL OUT AVBL",,5509 x 100 ft. / 1679 x 30 m,Publicly-owned,Runway 6/24
HMT,"33-44-02.5000N 117-01-20.3000W
33-44.041667N 117-01.338333W
33.7340278,-117.0223056
(estimated)",1514.8 ft. / 461.7 m (surveyed),13E (1995),"3 miles SW of HEMET, CA",UTC -8 (UTC -7 during Daylight Saving Time),92545,Open to the public,03/1941,no,LOS ANGELES CENTER,RIVERSIDE FLIGHT SERVICE STATION,DAYLIGHT HOURS,4315 x 100 ft. / 1315 x 30 m,tiedowns,2014 x 25 ft. / 614 x 8 m,Publicly-owned,Runway 5/23
HND,"35-58-22.2780N 115-08-03.7850W
35-58.371300N 115-08.063083W
35.9728550,-115.1343847
(estimated)",2491.4 ft. / 759.4 m (surveyed),13E (2005),"11 miles S of LAS VEGAS, NV",UTC -8 (UTC -7 during Daylight Saving Time),89052,Open to the public,10/1970,yes,LOS ANGELES CENTER,RENO FLIGHT SERVICE STATION,0500-2200,6501 x 100 ft. / 1982 x 30 m,tiedowns,5001 x 75 ft. / 1524 x 23 m,Publicly-owned,Runway 17R/35L
HNL,"21-19-04.1420N 157-55-12.8190W
21-19.069033N 157-55.213650W
21.3178172,-157.9202275
(estimated)",12.6 ft. / 3.8 m (surveyed),11E (1990),"3 miles NW of HONOLULU, HI",UTC -10 (year round; does not observe DST),96819,Open to the public,02/1938,yes,HONOLULU CONTROL FACILITY CENTER,HONOLULU FLIGHT SERVICE STATION,CONTINUOUS,"100 JET-A JET-A1+
100:100 OCTANE FUEL AVBL THRU FBO.",,"12312 x 150 ft. / 3753 x 46 m
200 FT WIDE WITH LGTS OUTSIDE, PVMT STRIPED 150 FT WIDE.",12000 x 200 ft. / 3658 x 61 m,Runway 8L/26R
HNS,"59-14-37.7850N 135-31-24.7350W
59-14.629750N 135-31.412250W
59.2438292,-135.5235375
(estimated)",15.3 ft. / 4.7 m (surveyed),20E (2015),"3 miles W of HAINES, AK",UTC -9 (UTC -8 during Daylight Saving Time),99827,Open to the public,02/1947,no,ANCHORAGE CENTER,JUNEAU FLIGHT SERVICE STATION [907-586-7380],UNATNDD,4000 x 100 ft. / 1219 x 30 m,tiedowns,Publicly-owned,  ,Runway 8/26
HOM,"59-38-41.9819N 151-29-08.9103W
59-38.699698N 151-29.148505W
59.6449950,-151.4858084
(estimated)",84.3 ft. / 25.7 m (surveyed),17E (2015),"2 miles E of HOMER, AK",UTC -9 (UTC -8 during Daylight Saving Time),99603,Open to the public,05/1947,no,ANCHORAGE CENTER,HOMER FLIGHT SERVICE STATION (on field) [907-235-8588],HOM (NOTAM-D service available),100LL JET-A,,6701 x 150 ft. / 2042 x 46 m,2501 x 100 ft. / 762 x 30 m,Runway 4/22
HON,"44-23-06.7000N 098-13-42.8000W
44-23.111667N 098-13.713333W
44.3851944,-98.2285556
(estimated)",1288.7 ft. / 392.8 m (surveyed),07E (1985),UTC -6 (UTC -5 during Daylight Saving Time),57350,nan,Open to the public,12/1937,no,MINNEAPOLIS CENTER,HURON FLIGHT SERVICE STATION,"0700-SS
FOR ATTENDANT AFTER HRS CALL 605-352-9262.",100LL JET-A,,7201 x 100 ft. / 2195 x 30 m,5000 x 75 ft. / 1524 x 23 m,Runway 12/30
HOT,"34-28-40.9000N 093-05-46.4000W
34-28.681667N 093-05.773333W
34.4780278,-93.0962222
(estimated)",540.3 ft. / 164.7 m (surveyed),01E (2020),"3 miles SW of HOT SPRINGS, AR",UTC -6 (UTC -5 during Daylight Saving Time),71913,Open to the public,04/1940,no,MEMPHIS CENTER,JONESBORO FLIGHT SERVICE STATION,0500-2200,"100LL JET-A
100LL:FOR FUEL AFT HRS CALL 501-617-0324 OR 501-609-6523.",,6595 x 150 ft. / 2010 x 46 m,4098 x 100 ft. / 1249 x 30 m,Runway 5/23
HOU,"29-38-44.8794N 095-16-38.0337W
29-38.747990N 095-16.633895W
29.6457998,-95.2772316
(estimated)",46.3 ft. / 14.1 m (surveyed),03E (2015),"8 miles SE of HOUSTON, TX",UTC -6 (UTC -5 during Daylight Saving Time),77061,Open to the public,01/1939,yes,HOUSTON CENTER,MONTGOMERY COUNTY FLIGHT SERVICE STATION,CONTINUOUS,7602 x 150 ft. / 2317 x 46 m,hangars and tiedowns,7602 x 150 ft. / 2317 x 46 m,5148 x 100 ft. / 1569 x 30 m,Runway 4/22
