airport_numbers,location,elevation,variation,from_city,time_zone,zipcode,airport_use,activation_date,control_tower,artcc,fss,attendance,fueltype,parking,ownership1,ownership2,runway,airport_operations,airport_operations1
ADM,"34-18-13.9444N 097-01-14.1506W
34-18.232407N 097-01.235843W
34.3038734,-97.0205974
(estimated)",776.7 ft. / 236.7 m (surveyed),06E (1995),"10 miles NE of ARDMORE, OK",UTC -6 (UTC -5 during Daylight Saving Time),73401,Open to the public,08/1943,yes,FORT WORTH CENTER,MC ALESTER FLIGHT SERVICE STATION,"MON-FRI 0700-2300, ALL SAT-SUN 0700-1700",100LL JET-A,,9002 x 150 ft. / 2744 x 46 m,5404 x 100 ft. / 1647 x 30 m,Runway 13/31,"['Ownership: ', 'Publicly-owned']","['Aircraft based on the field:', ' ', '15', 'Single engine airplanes:', ' ', '14', 'Jet airplanes:', ' ', '1']"
ADQ,"57-44-59.2580N 152-29-38.1970W
57-44.987633N 152-29.636617W
57.7497939,-152.4939436
(estimated)",78.7 ft. / 24.0 m (surveyed),14E (2020),"4 miles SW of KODIAK, AK",UTC -9 (UTC -8 during Daylight Saving Time),99615,Open to the public,04/1948,yes,ANCHORAGE CENTER,KENAI FLIGHT SERVICE STATION [907-283-7211],"SAME AS ARPT MAINT HRS
FOR INFORMATION ON ARPT CALL 907-487-4952 MON-FRI 0700-1630.",100LL JET-A1,,7534 x 150 ft. / 2296 x 46 m,5400 x 150 ft. / 1646 x 46 m,Runway 8/26,"['Owner: ', 'CITY OF COCHRAN\nCITY HALL, PO BOX 8\nCOCHRAN, GA 31014\nPhone 478-934-6346']","['Aircraft based on the field:', ' ', '93', 'Single engine airplanes:', ' ', '87', 'Multi engine airplanes:', ' ', '1', 'Helicopters:', ' ', '5']"
ADS,"32-58-06.8000N 096-50-11.2000W
32-58.113333N 096-50.186667W
32.9685556,-96.8364444
(estimated)",644.6 ft. / 196.5 m (surveyed),03E (2025),"9 miles N of DALLAS, TX",UTC -6 (UTC -5 during Daylight Saving Time),75001,Open to the public,11/1956,yes,FORT WORTH CENTER,FORT WORTH FLIGHT SERVICE STATION,0600-2200,100LL JET-A,,7203 x 100 ft. / 2195 x 30 m,Publicly-owned,Runway 16/34,"['Manager: ', 'JIM WASHBURN\n829 GA HWY 126\nCOCHRAN, GA 31014\nPhone 478-291-6582\nALT PHONE 478-230-7843']","['Aircraft based on the field:', ' ', '19', 'Single engine airplanes:', ' ', '16', 'Multi engine airplanes:', ' ', '3']"
AEG,"35-08-41.6740N 106-47-42.6260W
35-08.694567N 106-47.710433W
35.1449094,-106.7951739
(estimated)",5837.4 ft. / 1779.2 m (surveyed),11E (1990),"7 miles NW of ALBUQUERQUE, NM",UTC -7 (UTC -6 during Daylight Saving Time),87121,Open to the public,08/1983,yes,ALBUQUERQUE CENTER,ALBUQUERQUE FLIGHT SERVICE STATION,"0600-1900
FOR ATTENDANT AFT HRS CALL 505-884-4530.","100LL JET-A1
100LL:100LL AVBL 24 HRS SELF-SERVICE WITH MAJOR CREDIT CARD.
A1:$150 CALL-OUT FEE FOR JET A1.",,7398 x 100 ft. / 2255 x 30 m,5983 x 100 ft. / 1824 x 30 m,Runway 4/22,"['- ', 'FREQUENT VEHICULAR TFC AER 7.']","['Aircraft based on the field:', ' ', '112', 'Single engine airplanes:', ' ', '99', 'Multi engine airplanes:', ' ', '5', 'Jet airplanes:', ' ', '1', 'Helicopters:', ' ', '4', 'Gliders airplanes:', ' ', '3']"
AFW,"32-59-25.3890N 097-19-09.9860W
32-59.423150N 097-19.166433W
32.9903858,-97.3194406
(estimated)",723 ft. / 220.4 m (surveyed),04E (2015),"14 miles N of FORT WORTH, TX",UTC -6 (UTC -5 during Daylight Saving Time),76177,Open to the public,12/1989,yes,FORT WORTH CENTER,FORT WORTH FLIGHT SERVICE STATION,CONTINUOUS,100LL JET-A1+,,11010 x 150 ft. / 3356 x 46 m,11000 x 150 ft. / 3353 x 46 m,Runway 16R/34L,"['- ', 'BLUE EXIT LGTS AT 3 TURNOFFS.']","['Aircraft based on the field:', ' ', '3', 'Single engine airplanes:', ' ', '3']"
AGC,"40-21-15.9755N 079-55-44.5680W
40-21.266258N 079-55.742800W
40.3544376,-79.9290467
(estimated)",1251.5 ft. / 381.5 m (surveyed),09W (2000),"4 miles SE of PITTSBURGH, PA",UTC -5 (UTC -4 during Daylight Saving Time),15122,Open to the public,11/1937,yes,CLEVELAND CENTER,ALTOONA FLIGHT SERVICE STATION,CONTINUOUS,6501 x 150 ft. / 1982 x 46 m,hangars and tiedowns,3825 x 100 ft. / 1166 x 30 m,47 x 45 ft. / 14 x 14 m,Runway 10/28,"['- ', 'FOR CD CTC SEATTLE ARTCC AT 253-351-3694.']","['Aircraft based on the field:', ' ', '94', 'Single engine airplanes:', ' ', '82', 'Multi engine airplanes:', ' ', '8', 'Helicopters:', ' ', '2', 'Gliders airplanes:', ' ', '1', 'Ultralights:', ' ', '1']"
AGS,"33-22-11.8000N 081-57-52.2000W
33-22.196667N 081-57.870000W
33.3699444,-81.9645000
(estimated)",145.7 ft. / 44.4 m (surveyed),04W (1990),"6 miles S of AUGUSTA, GA",UTC -5 (UTC -4 during Daylight Saving Time),30906,Open to the public,10/1943,yes,ATLANTA CENTER,MACON FLIGHT SERVICE STATION,CONTINUOUS,100LL JET-A,,8001 x 150 ft. / 2439 x 46 m,6002 x 75 ft. / 1829 x 23 m,Runway 17/35,"['- ', 'HOOD RIVER ARPT IS A NOISE SENS AREA. PLS FLW THE FLY FRIENDLY SIGNS AT RWY ENDS AND AVOID LOW FLT.']","['Aircraft based on the field:', ' ', '26', 'Single engine airplanes:', ' ', '20', 'Multi engine airplanes:', ' ', '3', 'Helicopters:', ' ', '3']"
AHN,"33-56-55.1050N 083-19-33.2910W
33-56.918417N 083-19.554850W
33.9486403,-83.3259142
(estimated)",812.2 ft. / 247.6 m (surveyed),06W (2020),"3 miles E of ATHENS, GA",UTC -5 (UTC -4 during Daylight Saving Time),30605,Open to the public,07/1940,yes,ATLANTA CENTER,MACON FLIGHT SERVICE STATION,0600-2100,100LL JET-A JET-A1,,6122 x 100 ft. / 1866 x 30 m,3995 x 100 ft. / 1218 x 30 m,Runway 9/27,"['- ', 'COLD TEMPERATURE AIRPORT. ALTITUDE CORRECTION REQUIRED AT OR BELOW -7C.']","['Aircraft based on the field:', ' ', '12', 'Single engine airplanes:', ' ', '10', 'Multi engine airplanes:', ' ', '2']"
AIK,"33-38-57.8000N 081-41-06.1000W
33-38.963333N 081-41.101667W
33.6493889,-81.6850278
(estimated)",528.5 ft. / 161.1 m (surveyed),06W (2010),"5 miles N of AIKEN, SC",UTC -5 (UTC -4 during Daylight Saving Time),29805,Open to the public,01/1943,no,ATLANTA CENTER,ANDERSON FLIGHT SERVICE STATION,0600-1800,100LL JET-A,,5500 x 100 ft. / 1676 x 30 m,3800 x 75 ft. / 1158 x 23 m,Runway 7/25,"['- ', 'FOR CD CTC SEATTLE ARTCC AT 253-351-3694.']","['Aircraft based on the field:', ' ', '37', 'Single engine airplanes:', ' ', '16', 'Multi engine airplanes:', ' ', '11', 'Jet airplanes:', ' ', '5', 'Helicopters:', ' ', '5']"
AIT,"46-32-54.4630N 093-40-35.8758W
46-32.907717N 093-40.597930W
46.5484619,-93.6766322
(estimated)",1206 ft. / 367.6 m (surveyed),00E (2015),"2 miles NE of AITKIN, MN",UTC -6 (UTC -5 during Daylight Saving Time),56431,Open to the public,11/1946,no,MINNEAPOLIS CENTER,PRINCETON FLIGHT SERVICE STATION,"APR-OCT 0800-1700, NOV-MAR MON-FRI 0900-1700","100LL JET-A
100LL:100LL & JET A AVBL H24 VIA CREDIT CARD. FOR SVC CALL 218-839-1067 OR 218-839-6488.",,4000 x 75 ft. / 1219 x 23 m,3123 x 140 ft. / 952 x 43 m,Runway 16/34,"['- ', 'FOR CD CTC VANCE APCH AT 580-213-6765. WHEN VANCE APCH IS CLSD, CTC KANSAS CITY ARTCC AT 913-254-8508.']","['Aircraft based on the field:', ' ', '13', 'Single engine airplanes:', ' ', '12', 'Multi engine airplanes:', ' ', '1']"
AIZ,"38-05-45.7000N 092-32-58.1000W
38-05.761667N 092-32.968333W
38.0960278,-92.5494722
(estimated)",868.9 ft. / 264.8 m (surveyed),00E (2015),3 miles SE of central business district of the associated city,UTC -6 (UTC -5 during Daylight Saving Time),65017,Open to the public,no,KANSAS CITY CENTER,COLUMBIA FLIGHT SERVICE STATION,AIZ (NOTAM-D service available),lighted,6497 x 100 ft. / 1980 x 30 m,tiedowns,Publicly-owned,  ,Runway 4/22,"['Aircraft based on the field:   10\nSingle engine airplanes:   10', 'Aircraft based on the field:', ' ', '10', 'Single engine airplanes:', ' ', '10', '  ', '', '  ', 'Aircraft operations: avg 69/week *\n56%  local general aviation\n28%  transient general aviation\n17%  air taxi\n* for 12-month period ending 20 July 2019', 'Aircraft operations: avg 69/week *', '56% ', 'local general aviation', '28% ', 'transient general aviation', '17% ', 'air taxi', '* for 12-month period ending 20 July 2019']","['Aircraft based on the field:', ' ', '9', 'Single engine airplanes:', ' ', '5', 'Multi engine airplanes:', ' ', '3', 'Jet airplanes:', ' ', '1']"
AK15,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,"['- ', 'REPAIR SVC ATTENDED WEEKDAYS 0800-1700 LCL.']","['Aircraft based on the field:', ' ', '157', 'Single engine airplanes:', ' ', '121', 'Multi engine airplanes:', ' ', '13', 'Jet airplanes:', ' ', '7', 'Helicopters:', ' ', '7', 'Ultralights:', ' ', '9']"
ALM,"32-50-21.9000N 105-59-28.1000W
32-50.365000N 105-59.468333W
32.8394167,-105.9911389
(estimated)",4199.9 ft. / 1280.1 m (surveyed),08E (2020),"4 miles SW of ALAMOGORDO, NM",UTC -7 (UTC -6 during Daylight Saving Time),88310,Open to the public,10/1959,no,ALBUQUERQUE CENTER,ALBUQUERQUE FLIGHT SERVICE STATION,"0700-1700
FOR ACFT SVC AFT HRS CALL 575-437-2474.",9207 x 150 ft. / 2806 x 46 m,hangars and tiedowns,3257 x 190 ft. / 993 x 58 m,Publicly-owned,Runway 4/22,"['- ', 'MIGRATORY WATERFOWL ON & INVOF ARPT.']","['Aircraft based on the field:', ' ', '22', 'Single engine airplanes:', ' ', '21', 'Gliders airplanes:', ' ', '1']"
ALS,"37-26-06.4500N 105-52-04.3510W
37-26.107500N 105-52.072517W
37.4351250,-105.8678753
(estimated)",7539.8 ft. / 2298.1 m (surveyed),09E (2010),"2 miles S of ALAMOSA, CO",UTC -7 (UTC -6 during Daylight Saving Time),81101,Open to the public,03/1941,no,DENVER CENTER,DENVER FLIGHT SERVICE STATION,"0800-1930
ON CALL - 719-587-5335.",8521 x 100 ft. / 2597 x 30 m,hangars and tiedowns,Publicly-owned,  ,Runway 2/20,"['- ', 'FOR CD CTC BILLINGS APCH AT 406-255-2798']","['Aircraft based on the field:', ' ', '98', 'Single engine airplanes:', ' ', '78', 'Multi engine airplanes:', ' ', '9', 'Jet airplanes:', ' ', '2', 'Helicopters:', ' ', '7', 'Gliders airplanes:', ' ', '2']"
ALW,"46-05-33.1500N 118-17-02.6970W
46-05.552500N 118-17.044950W
46.0925417,-118.2840825
(estimated)",1194.4 ft. / 364.1 m (surveyed),14E (2025),"3 miles NE of WALLA WALLA, WA",UTC -8 (UTC -7 during Daylight Saving Time),99362,Open to the public,10/1937,yes,SEATTLE CENTER,SEATTLE FLIGHT SERVICE STATION,0800-1800,"100LL JET-A
100LL:SELF SVC CREDIT CARD FUELING FACILITY LCTD 600 FT N OF ATCT.",,6527 x 150 ft. / 1989 x 46 m,Publicly-owned,Runway 2/20,"['- ', 'FOR CD CTC SALT LAKE ARTCC AT 801-320-2568.']","['Aircraft based on the field:', ' ', '3', 'Single engine airplanes:', ' ', '3']"
AMA,"35-13-09.7000N 101-42-21.3000W
35-13.161667N 101-42.355000W
35.2193611,-101.7059167
(estimated)",3606.7 ft. / 1099.3 m (surveyed),08E (2000),"7 miles E of AMARILLO, TX",UTC -6 (UTC -5 during Daylight Saving Time),79108,Open to the public,10/1937,yes,ALBUQUERQUE CENTER,FORT WORTH FLIGHT SERVICE STATION,CONTINUOUS,100LL JET-A1+,,13502 x 200 ft. / 4115 x 61 m,7901 x 150 ft. / 2408 x 46 m,Runway 4/22,"['- ', 'RWY 17/35 IS LTD BY THE ARPT OPR TO ACFT MAX GWT TKOF 40000 LBS SW AND 53000 LBS DW WO PPR.']","['Aircraft based on the field:', ' ', '88', 'Single engine airplanes:', ' ', '55', 'Multi engine airplanes:', ' ', '23', 'Jet airplanes:', ' ', '8', 'Helicopters:', ' ', '2']"
ANC,"61-10-26.7050N 149-59-53.2950W
61-10.445083N 149-59.888250W
61.1740847,-149.9981375
(estimated)",151.4 ft. / 46.1 m (surveyed),16E (2020),"4 miles SW of ANCHORAGE, AK",UTC -9 (UTC -8 during Daylight Saving Time),99502,Open to the public,11/1951,yes,ANCHORAGE CENTER,KENAI FLIGHT SERVICE STATION [907-283-7211],CONTINUOUS,12400 x 200 ft. / 3780 x 61 m,hangars and tiedowns,10865 x 200 ft. / 3312 x 61 m,10600 x 150 ft. / 3231 x 46 m,Runway 7R/25L,"['Aircraft based on the field:   26\nSingle engine airplanes:   26', 'Aircraft based on the field:', ' ', '26', 'Single engine airplanes:', ' ', '26', '  ', '', '  ', 'Aircraft operations: avg 25/day *\n44%  transient general aviation\n39%  local general aviation\n17%  air taxi\n* for 12-month period ending 31 December 2019', 'Aircraft operations: avg 25/day *', '44% ', 'transient general aviation', '39% ', 'local general aviation', '17% ', 'air taxi', '* for 12-month period ending 31 December 2019']","['Aircraft based on the field:', ' ', '19', 'Single engine airplanes:', ' ', '17', 'Jet airplanes:', ' ', '1', 'Helicopters:', ' ', '1']"
ANE,"45-08-41.6000N 093-12-36.7000W
45-08.693333N 093-12.611667W
45.1448889,-93.2101944
(estimated)",912.2 ft. / 278.0 m (surveyed),02E (2000),"10 miles N of MINNEAPOLIS, MN",UTC -6 (UTC -5 during Daylight Saving Time),55449,Open to the public,11/1952,yes,MINNEAPOLIS CENTER,PRINCETON FLIGHT SERVICE STATION,CONTINUOUS,"100LL JET-A
A:JET A AVBL AT FBOS SUBJ LDG FEE CTC FBO.
100LL:100LL AVBL H24 VIA CREDIT CARD AT LYNX SOUTH RAMP.",,5000 x 100 ft. / 1524 x 30 m,4855 x 100 ft. / 1480 x 30 m,Runway 9/27,"['- ', 'RY 34 CALM WIND RY.']","['Aircraft based on the field:', ' ', '28', 'Single engine airplanes:', ' ', '21', 'Multi engine airplanes:', ' ', '3', 'Helicopters:', ' ', '4']"
APA,"39-34-12.4270N 104-50-57.4550W
39-34.207117N 104-50.957583W
39.5701186,-104.8492931
(estimated)",5884.9 ft. / 1793.7 m (surveyed),08E (2015),"15 miles SE of DENVER, CO",UTC -7 (UTC -6 during Daylight Saving Time),80112,Open to the public,03/1968,yes,DENVER CENTER,DENVER FLIGHT SERVICE STATION,CONTINUOUS,10001 x 100 ft. / 3048 x 30 m,hangars and tiedowns,7001 x 75 ft. / 2134 x 23 m,4800 x 75 ft. / 1463 x 23 m,Runway 17L/35R,"['- ', 'PAEW ADJ TO RY 16/34 WKENDS 0800-1600.']","['Aircraft based on the field:', ' ', '20', 'Single engine airplanes:', ' ', '13', 'Multi engine airplanes:', ' ', '2', 'Jet airplanes:', ' ', '5']"
APC,"38-12-47.4810N 122-16-50.4740W
38-12.791350N 122-16.841233W
38.2131892,-122.2806872
(estimated)",35.5 ft. / 10.8 m (surveyed),15E (2005),"5 miles S of NAPA, CA",UTC -8 (UTC -7 during Daylight Saving Time),94558,Open to the public,10/1944,yes,OAKLAND CENTER,OAKLAND FLIGHT SERVICE STATION,0700-2000,5930 x 150 ft. / 1807 x 46 m,tiedowns,5008 x 150 ft. / 1526 x 46 m,2510 x 75 ft. / 765 x 23 m,Runway 1L/19R,"['- ', 'BIRDS ON AND INVOF ARPT. BE AWARE MOWING ADJ RY16/34 WEEKDAYS.']","['Aircraft based on the field:', ' ', '10', 'Single engine airplanes:', ' ', '8', 'Multi engine airplanes:', ' ', '2']"
APF,"26-09-08.7869N 081-46-32.3011W
26-09.146448N 081-46.538352W
26.1524408,-81.7756392
(estimated)",8.3 ft. / 2.5 m (surveyed),03W (1995),"2 miles NE of NAPLES, FL",UTC -5 (UTC -4 during Daylight Saving Time),34104,Open to the public,07/1944,yes,MIAMI CENTER,MIAMI FLIGHT SERVICE STATION,0600-2200,6600 x 150 ft. / 2012 x 46 m,hangars and tiedowns,5001 x 100 ft. / 1524 x 30 m,1850 x 100 ft. / 564 x 30 m,Runway 5/23,"['- ', 'BE AWARE OF SKYDIVERS CROSSING RY.']","['Aircraft based on the field:', ' ', '90', 'Single engine airplanes:', ' ', '80', 'Multi engine airplanes:', ' ', '4', 'Jet airplanes:', ' ', '2', 'Helicopters:', ' ', '3', 'Gliders airplanes:', ' ', '1']"
APV,"34-34-31.2000N 117-11-10.3000W
34-34.520000N 117-11.171667W
34.5753333,-117.1861944
(estimated)",3061.7 ft. / 933.2 m (surveyed),14E (2000),"3 miles N of APPLE VALLEY, CA",UTC -8 (UTC -7 during Daylight Saving Time),92307,Open to the public,02/1970,no,LOS ANGELES CENTER,RIVERSIDE FLIGHT SERVICE STATION,0800-1700,6498 x 150 ft. / 1981 x 46 m,tiedowns,4099 x 60 ft. / 1249 x 18 m,Publicly-owned,Runway 18/36,"['- ', 'PARACHUTE JUMP AREA LOCATED EAST SIDE OF ARPT.']","['Aircraft based on the field:', ' ', '17', 'Single engine airplanes:', ' ', '14', 'Multi engine airplanes:', ' ', '2', 'Helicopters:', ' ', '1']"
AQO,"30-47-03.2000N 098-39-35.6000W
30-47.053333N 098-39.593333W
30.7842222,-98.6598889
(estimated)",1101.7 ft. / 335.8 m (surveyed),05E (2010),"2 miles NE of LLANO, TX",UTC -6 (UTC -5 during Daylight Saving Time),78643,Open to the public,04/1944,no,HOUSTON CENTER,SAN ANGELO FLIGHT SERVICE STATION,"FRI-MON 0700-1700, ALL TUE-THU 0800-1700",4202 x 75 ft. / 1281 x 23 m,hangars and tiedowns,3209 x 150 ft. / 978 x 46 m,Publicly-owned,Runway 17/35,"['- ', 'CTC NUMBER FOR INFO AND UPDATES ABOUT SKYDIVING OPS 541-895-3029.']","['Aircraft based on the field:', ' ', '13', 'Single engine airplanes:', ' ', '11', 'Multi engine airplanes:', ' ', '1', 'Gliders airplanes:', ' ', '1']"
AQW,"42-41-46.5137N 073-10-13.9910W
42-41.775228N 073-10.233183W
42.6962538,-73.1705531
(estimated)",653.8 ft. / 199.3 m (surveyed),14W (1985),"3 miles W of NORTH ADAMS, MA",UTC -5 (UTC -4 during Daylight Saving Time),1247,Open to the public,10/1944,no,BOSTON CENTER,BURLINGTON FLIGHT SERVICE STATION,0800-1630,100LL JET-A,,4300 x 100 ft. / 1311 x 30 m,Publicly-owned,Runway 11/29,"['- ', 'FOR CD CTC CASCADE APCH AT 541-607-4674/4675, WHEN APCH CLSD CTC SEATTLE ARTCC AT 253-351-3694.']","['Aircraft based on the field:', ' ', '48', 'Single engine airplanes:', ' ', '40', 'Multi engine airplanes:', ' ', '5', 'Jet airplanes:', ' ', '1', 'Helicopters:', ' ', '1', 'Ultralights:', ' ', '1']"
ASE,"39-13-18.8000N 106-52-05.6000W
39-13.313333N 106-52.093333W
39.2218889,-106.8682222
(estimated)",7837.9 ft. / 2389.0 m (surveyed),09E (2015),"3 miles NW of ASPEN, CO",UTC -7 (UTC -6 during Daylight Saving Time),81611,Open to the public,03/1949,yes,DENVER CENTER,DENVER FLIGHT SERVICE STATION,0700-2300,8006 x 100 ft. / 2440 x 30 m,hangars and tiedowns,Publicly-owned,  ,Runway 15/33,"['Aircraft based on the field:   31\nSingle engine airplanes:   31', 'Aircraft based on the field:', ' ', '31', 'Single engine airplanes:', ' ', '31', '  ', '', '  ', 'Aircraft operations: avg 93/week *\n54%  local general aviation\n41%  transient general aviation\n5%  air taxi\n* for 12-month period ending 27 June 2019', 'Aircraft operations: avg 93/week *', '54% ', 'local general aviation', '41% ', 'transient general aviation', '5% ', 'air taxi', '* for 12-month period ending 27 June 2019']","['Aircraft based on the field:', ' ', '11', 'Single engine airplanes:', ' ', '11']"
AST,"46-09-28.7000N 123-52-43.0000W
46-09.478333N 123-52.716667W
46.1579722,-123.8786111
(estimated)",14.3 ft. / 4.4 m (surveyed),15E (2020),"3 miles SW of ASTORIA, OR",UTC -8 (UTC -7 during Daylight Saving Time),97146,Open to the public,07/1938,no,SEATTLE CENTER,MC MINNVILLE FLIGHT SERVICE STATION,"0800-1700
FOR FUEL OUTSIDE NML WORKING HRS CTC FBO 503-298-7531.",5794 x 100 ft. / 1766 x 30 m,tiedowns,4467 x 100 ft. / 1362 x 30 m,Publicly-owned,Runway 8/26,"['- ', 'IRREG SNOW REMOVAL.']","['Aircraft based on the field:', ' ', '41', 'Single engine airplanes:', ' ', '28', 'Multi engine airplanes:', ' ', '3', 'Helicopters:', ' ', '8', 'Gliders airplanes:', ' ', '2']"
ATW,"44-15-29.1350N 088-31-08.6600W
44-15.485583N 088-31.144333W
44.2580931,-88.5190722
(estimated)",918 ft. / 279.8 m (surveyed),02W (1995),"3 miles W of APPLETON, WI",UTC -6 (UTC -5 during Daylight Saving Time),54914,Open to the public,05/1965,yes,MINNEAPOLIS CENTER,GREEN BAY FLIGHT SERVICE STATION,CONTINUOUS,100LL JET-A,,8003 x 150 ft. / 2439 x 46 m,6502 x 150 ft. / 1982 x 46 m,Runway 3/21,"['- ', 'LIVESTOCK ON & INVOF ARPT.']","['Aircraft based on the field:', ' ', '31', 'Single engine airplanes:', ' ', '24', 'Multi engine airplanes:', ' ', '5', 'Jet airplanes:', ' ', '1', 'Helicopters:', ' ', '1']"
AUM,"43-39-45.5000N 092-55-58.5000W
43-39.758333N 092-55.975000W
43.6626389,-92.9329167
(estimated)",1233.5 ft. / 376.0 m (surveyed),00E (2020),"2 miles E of AUSTIN, MN",UTC -6 (UTC -5 during Daylight Saving Time),55912,Open to the public,04/1940,no,MINNEAPOLIS CENTER,PRINCETON FLIGHT SERVICE STATION,"SAT 0800-1600, ALL SUN 0900-1500, ALL MON-FRI 0800-1700",5800 x 100 ft. / 1768 x 30 m,hangars and tiedowns,Publicly-owned,  ,Runway 17/35,"['- ', 'FOR CD CTC SALT LAKE ARTCC AT 801-320-2568.']","['Aircraft based on the field:', ' ', '60', 'Single engine airplanes:', ' ', '57', 'Multi engine airplanes:', ' ', '1', 'Helicopters:', ' ', '2']"
AUN,"38-57-17.4000N 121-04-54.2000W
38-57.290000N 121-04.903333W
38.9548333,-121.0817222
(estimated)",1538.4 ft. / 468.9 m (surveyed),16E (1995),"3 miles N of AUBURN, CA",UTC -8 (UTC -7 during Daylight Saving Time),95602,Open to the public,05/1941,no,OAKLAND CENTER,RANCHO MURIETA FLIGHT SERVICE STATION,0800-1800,3700 x 75 ft. / 1128 x 23 m,hangars and tiedowns,Publicly-owned,  ,Runway 7/25,"['Ownership: ', 'Publicly-owned']","['Aircraft based on the field:', ' ', '277', 'Single engine airplanes:', ' ', '257', 'Multi engine airplanes:', ' ', '7', 'Helicopters:', ' ', '5', 'Gliders airplanes:', ' ', '8']"
AUS,"30-11-40.2980N 097-40-11.5540W
30-11.671633N 097-40.192567W
30.1945272,-97.6698761
(estimated)",541.5 ft. / 165.0 m (surveyed),04E (2020),"5 miles SE of AUSTIN, TX",UTC -6 (UTC -5 during Daylight Saving Time),78719,Open to the public,07/1943,yes,HOUSTON CENTER,SAN ANGELO FLIGHT SERVICE STATION,CONTINUOUS,12250 x 150 ft. / 3734 x 46 m,hangars and tiedowns,9000 x 150 ft. / 2743 x 46 m,60 x 60 ft. / 18 x 18 m,Runway 18R/36L,"['Owner: ', 'CITY OF POLSON & LAKE COUNTY\n106 4TH AVE E\nPOLSON, MT 59860\nPhone 406-249-1683']","['Aircraft based on the field:', ' ', '39', 'Single engine airplanes:', ' ', '37', 'Multi engine airplanes:', ' ', '2']"
AVL,"35-26-10.0070N 082-32-31.3710W
35-26.166783N 082-32.522850W
35.4361131,-82.5420475
(estimated)",2163.9 ft. / 659.6 m (surveyed),07W (2020),"9 miles S of ASHEVILLE, NC",UTC -5 (UTC -4 during Daylight Saving Time),28704,Open to the public,01/1961,yes,ATLANTA CENTER,RALEIGH FLIGHT SERVICE STATION,CONTINUOUS,100LL JET-A,,8002 x 150 ft. / 2439 x 46 m,Publicly-owned,Runway 17/35,"['Manager: ', 'VINCE JENNISON\n470 REGATTA RD\nPOLSON, MT 59860\nPhone 406-883-2482']","['Aircraft based on the field:', ' ', '71', 'Single engine airplanes:', ' ', '53', 'Multi engine airplanes:', ' ', '16', 'Helicopters:', ' ', '2']"
AVQ,"32-24-34.4000N 111-13-06.2000W
32-24.573333N 111-13.103333W
32.4095556,-111.2183889
(estimated)",2031.5 ft. / 619.2 m (surveyed),12E (2000),"15 miles NW of MARANA, AZ",UTC -7 (year round; does not observe DST),85653,Open to the public,no,ALBUQUERQUE CENTER,PRESCOTT FLIGHT SERVICE STATION,PRC (NOTAM-D service available),lighted,100LL JET-A,,6901 x 100 ft. / 2103 x 30 m,3892 x 75 ft. / 1186 x 23 m,Runway 12/30,"['- ', 'ATNDD CONSY.']","['Aircraft based on the field:', ' ', '33', 'Single engine airplanes:', ' ', '29', 'Multi engine airplanes:', ' ', '1', 'Jet airplanes:', ' ', '1', 'Helicopters:', ' ', '2']"
AWO,"48-09-38.7000N 122-09-32.5000W
48-09.645000N 122-09.541667W
48.1607500,-122.1590278
(estimated)",141.8 ft. / 43.2 m (surveyed),17E (2010),"3 miles SW of ARLINGTON, WA",UTC -8 (UTC -7 during Daylight Saving Time),98223,Open to the public,08/1937,no,SEATTLE CENTER,SEATTLE FLIGHT SERVICE STATION,M-F 0800-1700,"100LL JET-A
A:PHONE 360-435-5700 FOR AFTER HRS SVC.
100LL:100L FUEL AVBL 24 HR CREDIT CARD SVC.",,5332 x 100 ft. / 1625 x 30 m,3498 x 75 ft. / 1066 x 23 m,Runway 16/34,"['- ', 'USE CTN FOR MCCONNELL AFB 9 MILES S AND BEECH FACTORY ARPT 3 MILES S.']","['Aircraft based on the field:', ' ', '102', 'Single engine airplanes:', ' ', '80', 'Multi engine airplanes:', ' ', '12', 'Jet airplanes:', ' ', '1', 'Helicopters:', ' ', '1', 'Military aircraft:', ' ', '8']"
AYPY,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,"['- ', 'BEECH FACTORY ARPT CLASS D ASP BEGINS 1 MILE S OF RWY 18 DER.']","['Aircraft based on the field:', ' ', '92', 'Single engine airplanes:', ' ', '82', 'Multi engine airplanes:', ' ', '6', 'Jet airplanes:', ' ', '3', 'Helicopters:', ' ', '1']"
