airport_numbers,location,elevation,variation,from_city,time_zone,zipcode,airport_use,activation_date,control_tower,artcc,fss,attendance,fueltype,parking,ownership1,ownership2,runway
CYCD,"49-03-16.0000N 123-52-12.0000W
49-03.266667N 123-52.200000W
49.0544444,-123.8700000
(estimated)",92 ft. / 28 m (estimated),19E (),"7 miles SSE of NANAIMO,",UTC -8 (UTC -7 during Daylight Saving Time),98281,Open to the public,03/2005,no,VANCOUVER CENTER,KAMLOOPS FIC FLIGHT SERVICE STATION,,6602 x 150 ft. / 2012 x 46 m,nan,Publicly-owned,DEER INVOF RY.,Runway 16/34
CYCQ,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
CYLW,"39-25-41.4800N 097-07-26.7700W
39-25.691333N 097-07.446167W
39.4281889,-97.1241028
(estimated)",1275 ft. / 389 m (estimated),07E (1985),"3 miles N of CLAY CENTER, KS",UTC -6 (UTC -5 during Daylight Saving Time),67432,Private use. Permission required prior to landing,05/1943,no,KANSAS CITY CENTER,WICHITA FLIGHT SERVICE STATION,yes,1325 x 60 ft. / 404 x 18 m,NONE,Privately-owned,  ,Runway 18/36
CYQL,"39-25-41.4800N 097-07-26.7700W
39-25.691333N 097-07.446167W
39.4281889,-97.1241028
(estimated)",1275 ft. / 389 m (estimated),07E (1985),"3 miles N of CLAY CENTER, KS",UTC -6 (UTC -5 during Daylight Saving Time),67432,Private use. Permission required prior to landing,05/1943,no,KANSAS CITY CENTER,WICHITA FLIGHT SERVICE STATION,yes,1325 x 60 ft. / 404 x 18 m,NONE,Privately-owned,  ,Runway 18/36
CYQT,"48-22-19.0000N 089-19-26.0000W
48-22.316667N 089-19.433333W
48.3719444,-89.3238889
(estimated)",653 ft. / 199 m (estimated),03W (),UTC -5 (UTC -4 during Daylight Saving Time),55605,nan,Open to the public,03/2005,no,TORONTO CENTER,WINNIPEG FLIGHT SERVICE STATION,no,5300 x 200 ft. / 1615 x 61 m,asphalt,Publicly-owned,nan,Runway 7/25
CYS,"41-09-20.3000N 104-48-37.7000W
41-09.338333N 104-48.628333W
41.1556389,-104.8104722
(estimated)",6159.9 ft. / 1877.5 m (surveyed),10E (2005),"1 mile N of CHEYENNE, WY",UTC -7 (UTC -6 during Daylight Saving Time),82001,Open to the public,10/1937,yes,DENVER CENTER,CASPER FLIGHT SERVICE STATION,0600-2200,9270 x 150 ft. / 2825 x 46 m,hangars and tiedowns,6690 x 150 ft. / 2039 x 46 m,Publicly-owned,Runway 9/27
CYSU,"46-26-26.0000N 063-50-01.0000W
46-26.433333N 063-50.016667W
46.4405556,-63.8336111
(estimated)",56 ft. / 17 m (estimated),20W (),"4 miles NNW of SUMMERSIDE,",UTC -4 (UTC -3 during Daylight Saving Time),nan,Open to the public,03/2005,no,WINNIPEG CENTER,HALIFAX FIC FLIGHT SERVICE STATION,no,Publicly-owned,asphalt,nan,nan,Runway 6/24
CYVR,"49-11-41.0000N 123-11-02.0000W
49-11.683333N 123-11.033333W
49.1947222,-123.1838889
(estimated)",14 ft. / 4 m (estimated),19E (),UTC -8 (UTC -7 during Daylight Saving Time),98281,nan,Open to the public,04/2005,yes,VANCOUVER CENTER,KAMLOOPS FIC FLIGHT SERVICE STATION,no,100LL JET-A JET-A1,,11500 x 200 ft. / 3505 x 61 m,9940 x 200 ft. / 3030 x 61 m,Runway 8R/26L
CYXE,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
CYXX,"49-01-31.0000N 122-21-36.0000W
49-01.516667N 122-21.600000W
49.0252778,-122.3600000
(estimated)",194 ft. / 59 m (estimated),19E (),"2 miles SW of ABBOTSFORD,",UTC -8 (UTC -7 during Daylight Saving Time),98276,Open to the public,03/2005,yes,VANCOUVER CENTER,KAMLOOPS FIC FLIGHT SERVICE STATION,,100LL JET-A,,9597 x 200 ft. / 2925 x 61 m,5328 x 200 ft. / 1624 x 61 m,Runway 7/25
CYXY,"60-42-34.0000N 135-04-02.0000W
60-42.566667N 135-04.033333W
60.7094444,-135.0672222
(estimated)",2317 ft. / 706 m (estimated),25E (),UTC -8 (UTC -7 during Daylight Saving Time),nan,nan,Open to the public,04/2005,yes,EDMONTON CENTER,WHITEHORSE FLIGHT SERVICE STATION,,9500 x 150 ft. / 2896 x 46 m,MINOR,4018 x 80 ft. / 1225 x 24 m,1798 x 75 ft. / 548 x 23 m,Runway 13R/31L
CYYC,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
CYYF,"49-27-47.0000N 119-36-08.0000W
49-27.783333N 119-36.133333W
49.4630556,-119.6022222
(estimated)",1129 ft. / 344 m (estimated),18E (),"2 miles SW of PENTICTON,",UTC -8 (UTC -7 during Daylight Saving Time),98827,Open to the public,03/2005,no,VANCOUVER CENTER,KAMLOOPS FIC FLIGHT SERVICE STATION,no,Publicly-owned,asphalt,nan,nan,Runway 16/34
CYYG,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
CYYJ,"48-38-53.0081N 123-25-38.7944W
48-38.883468N 123-25.646573W
48.6480578,-123.4274429
(estimated)",64 ft. / 20 m (estimated),19E (2010),"12 miles NNW of VICTORIA,",UTC -8 (UTC -7 during Daylight Saving Time),98250,Open to the public,04/2005,yes,VANCOUVER CENTER,KAMLOOPS FIC FLIGHT SERVICE STATION,,100LL JET-A1,,6998 x 200 ft. / 2133 x 61 m,5026 x 200 ft. / 1532 x 61 m,Runway 9/27
CYYR,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
CYZU,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
CZBB,"49-04-27.0000N 123-00-27.0000W
49-04.450000N 123-00.450000W
49.0741667,-123.0075000
(estimated)",6 ft. / 2 m (estimated),17E (2011),"9 miles SSE of BOUNDARY BAY,",UTC -8 (UTC -7 during Daylight Saving Time),98281,Open to the public,02/2007,no,VANCOUVER CENTER,KAMLOOPS FIC FLIGHT SERVICE STATION,0700-2100,100LL JET-A1,,5606 x 100 ft. / 1709 x 30 m,3750 x 100 ft. / 1143 x 30 m,Runway 7/25
DAG,"34-51-13.4000N 116-47-12.1000W
34-51.223333N 116-47.201667W
34.8537222,-116.7866944
(estimated)",1930 ft. / 588.3 m (surveyed),15E (1975),"4 miles E of DAGGETT, CA",UTC -8 (UTC -7 during Daylight Saving Time),92327,Open to the public,05/1941,no,LOS ANGELES CENTER,RIVERSIDE FLIGHT SERVICE STATION,0630-1700,6402 x 150 ft. / 1951 x 46 m,tiedowns,5123 x 100 ft. / 1561 x 30 m,Publicly-owned,Runway 8/26
DAL,"32-50-45.4010N 096-51-03.1560W
32-50.756683N 096-51.052600W
32.8459447,-96.8508767
(estimated)",486.9 ft. / 148.4 m (surveyed),03E (2020),"5 miles NW of DALLAS, TX",UTC -6 (UTC -5 during Daylight Saving Time),75235,Open to the public,10/1937,yes,FORT WORTH CENTER,FORT WORTH FLIGHT SERVICE STATION,CONTINUOUS,100LL JET-A,,8800 x 150 ft. / 2682 x 46 m,7752 x 150 ft. / 2363 x 46 m,Runway 13R/31L
DBQ,"42-24-07.2000N 090-42-34.1000W
42-24.120000N 090-42.568333W
42.4020000,-90.7094722
(estimated)",1076.4 ft. / 328.1 m (surveyed),03E (1975),"7 miles SW of DUBUQUE, IA",UTC -6 (UTC -5 during Daylight Saving Time),52003,Open to the public,03/1943,yes,CHICAGO CENTER,FORT DODGE FLIGHT SERVICE STATION,0600-2200,6502 x 100 ft. / 1982 x 30 m,hangars and tiedowns,6327 x 150 ft. / 1928 x 46 m,Publicly-owned,Runway 13/31
DEW,"47-58-01.3970N 117-25-42.9120W
47-58.023283N 117-25.715200W
47.9670547,-117.4285867
(estimated)",2210.7 ft. / 673.8 m (surveyed),16E (2010),"3 miles NE of DEER PARK, WA",UTC -8 (UTC -7 during Daylight Saving Time),99006,Open to the public,12/1943,no,SEATTLE CENTER,SEATTLE FLIGHT SERVICE STATION,"APR-OCT 0800-1700, NOV-MAR 1000-1600","100LL JET-A
100LL:100LL AND JET A AVBL 24 HRS CREDIT CARD SELF SVC FACILITY. CALL AHEAD FOR FULL SVC, JET A SVC 509-276-3379.",,6101 x 75 ft. / 1860 x 23 m,3200 x 60 ft. / 975 x 18 m,Runway 16/34
DFI,"41-20-15.0000N 084-25-43.7000W
41-20.250000N 084-25.728333W
41.3375000,-84.4288056
(estimated)",706.9 ft. / 215.5 m (surveyed),05W (2000),"4 miles NW of DEFIANCE, OH",UTC -5 (UTC -4 during Daylight Saving Time),43512,Open to the public,10/1945,no,CLEVELAND CENTER,CLEVELAND FLIGHT SERVICE STATION,"MON-FRI 0800-1800, ALL SAT 0800-1700",100LL JET-A+,,4199 x 72 ft. / 1280 x 22 m,Publicly-owned,Runway 12/30
DHN,"31-19-15.7000N 085-26-58.1000W
31-19.261667N 085-26.968333W
31.3210278,-85.4494722
(estimated)",400.8 ft. / 122.2 m (surveyed),03W (2010),"5 miles NW of DOTHAN, AL",UTC -6 (UTC -5 during Daylight Saving Time),36350,Open to the public,07/1942,yes,JACKSONVILLE CENTER,ANNISTON FLIGHT SERVICE STATION,CONTINUOUS,100LL JET-A,,8499 x 150 ft. / 2590 x 46 m,5498 x 100 ft. / 1676 x 30 m,Runway 14/32
DIK,"46-48-01.7050N 102-48-15.9670W
46-48.028417N 102-48.266117W
46.8004736,-102.8044353
(estimated)",2592.1 ft. / 790.1 m (surveyed),10E (2000),"5 miles S of DICKINSON, ND",UTC -7 (UTC -6 during Daylight Saving Time),58601,Open to the public,10/1938,no,MINNEAPOLIS CENTER,GRAND FORKS FLIGHT SERVICE STATION,"0700-1600
FOR SVC AFT HRS CALL (701) 264-9966.",7301 x 150 ft. / 2225 x 46 m,hangars and tiedowns,4700 x 75 ft. / 1433 x 23 m,Publicly-owned,Runway 14/32
DKX,"35-57-49.8000N 083-52-25.2000W
35-57.830000N 083-52.420000W
35.9638333,-83.8736667
(estimated)",833.2 ft. / 254.0 m (surveyed),05W (2010),"3 miles E of KNOXVILLE, TN",UTC -5 (UTC -4 during Daylight Saving Time),37915,Open to the public,11/1938,no,ATLANTA CENTER,NASHVILLE FLIGHT SERVICE STATION,0700-2200,"100LL JET-A+
100LL:100LL SELF SERV H24 WITH CREDIT CARD.",,3499 x 75 ft. / 1066 x 23 m,Publicly-owned,Runway 8/26
DLG,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
DLH,"46-50-31.4511N 092-11-35.6540W
46-50.524185N 092-11.594233W
46.8420698,-92.1932372
(estimated)",1427.8 ft. / 435.2 m (surveyed),01W (2020),"5 miles NW of DULUTH, MN",UTC -6 (UTC -5 during Daylight Saving Time),55811,Open to the public,04/1940,yes,MINNEAPOLIS CENTER,PRINCETON FLIGHT SERVICE STATION,CONTINUOUS,"100LL JET-A J8
J8:AVBL AT MIL & CIVIL FUELING FACILITIES.",,10591 x 150 ft. / 3228 x 46 m,5719 x 150 ft. / 1743 x 46 m,Runway 9/27
DLN,"45-15-19.3000N 112-33-09.0000W
45-15.321667N 112-33.150000W
45.2553611,-112.5525000
(estimated)",5244.7 ft. / 1598.6 m (surveyed),13E (2010),"4 miles NE of DILLON, MT",UTC -7 (UTC -6 during Daylight Saving Time),59725,Open to the public,05/1941,no,SALT LAKE CITY CENTER,GREAT FALLS FLIGHT SERVICE STATION,"0800-1700
FOR ARPT ATTENDANT AFTER HRS CALL 406-683-5242 OR 406-250-5280.",6501 x 75 ft. / 1982 x 23 m,hangars and tiedowns,3600 x 60 ft. / 1097 x 18 m,Publicly-owned,Runway 17/35
DLS,"45-37-09.6786N 121-10-05.7926W
45-37.161310N 121-10.096543W
45.6193552,-121.1682757
(estimated)",246.5 ft. / 75.1 m (surveyed),15E (2015),"2 miles NE of THE DALLES, OR",UTC -8 (UTC -7 during Daylight Saving Time),98617,Open to the public,06/1943,no,SEATTLE CENTER,SEATTLE FLIGHT SERVICE STATION,0800-1700,5097 x 100 ft. / 1554 x 30 m,tiedowns,4647 x 100 ft. / 1416 x 30 m,Publicly-owned,Runway 13/31
DMA,"32-09-58.9119N 110-52-59.4109W
32-09.981865N 110-52.990182W
32.1663644,-110.8831697
(estimated)",2704 ft. / 824 m (estimated),12E (2000),"2 miles SW of TUCSON, AZ",UTC -7 (year round; does not observe DST),85708,Private use. Permission required prior to landing,04/1940,yes,ALBUQUERQUE CENTER,PRESCOTT FLIGHT SERVICE STATION,,hangars and tiedowns,,13643 x 200 ft. / 4158 x 61 m,U.S. Air Force,Runway 12/30
DMN,"32-15-44.6000N 107-43-08.4000W
32-15.743333N 107-43.140000W
32.2623889,-107.7190000
(estimated)",4314 ft. / 1314.9 m (surveyed),10E (2005),"2 miles SE of DEMING, NM",UTC -7 (UTC -6 during Daylight Saving Time),88030,Open to the public,10/1937,no,ALBUQUERQUE CENTER,ALBUQUERQUE FLIGHT SERVICE STATION,"0700-1800
FOR ARPT ATTENDANT AFT HRS CALL 575-494-2311.",8018 x 75 ft. / 2444 x 23 m,hangars and tiedowns,5675 x 60 ft. / 1730 x 18 m,Publicly-owned,Runway 8/26
DNL,"33-27-59.7000N 082-02-21.8000W
33-27.995000N 082-02.363333W
33.4665833,-82.0393889
(estimated)",422.3 ft. / 128.7 m (surveyed),04W (1990),"1 mile W of AUGUSTA, GA",UTC -5 (UTC -4 during Daylight Saving Time),30909,Open to the public,04/1940,no,ATLANTA CENTER,MACON FLIGHT SERVICE STATION,0700-DUSK,100LL JET-A1+,,4002 x 100 ft. / 1220 x 30 m,3733 x 100 ft. / 1138 x 30 m,Runway 5/23
DPA,"41-54-25.3910N 088-14-52.7820W
41-54.423183N 088-14.879700W
41.9070531,-88.2479950
(estimated)",758.5 ft. / 231.2 m (surveyed),01W (1985),29 miles W of central business district of the associated city,UTC -6 (UTC -5 during Daylight Saving Time),60185,Open to the public,03/1943,yes,CHICAGO CENTER,KANKAKEE FLIGHT SERVICE STATION,CONTINUOUS,7571 x 150 ft. / 2308 x 46 m,hangars and tiedowns,6451 x 100 ft. / 1966 x 30 m,4750 x 75 ft. / 1448 x 23 m,Runway 2L/20R
DPG,"40-11-50.5750N 112-56-06.1960W
40-11.842917N 112-56.103267W
40.1973819,-112.9350544
(estimated)",4350.4 ft. / 1326 m (estimated),13E (2010),"9 miles W of DUGWAY PROVING GROUND, UT",UTC -7 (UTC -6 during Daylight Saving Time),84022,Private use. Permission required prior to landing,no,SALT LAKE CITY CENTER,"CEDAR CITY FLIGHT SERVICE STATION
FSS-CEDAR CITY CDC-NOTAM CDC.",CDC (NOTAM-D service available),F/W TFC PAT 6000 FT; R/W TFC PAT 5000 FT.,U.S. Army,"asphalt/grooved
PEM.",HOOK E5 (965 FT),nan,Runway 12/30
DRO,"37-09-05.5000N 107-45-13.6000W
37-09.091667N 107-45.226667W
37.1515278,-107.7537778
(estimated)",6689.4 ft. / 2038.9 m (surveyed),10E (2010),"10 miles SE of DURANGO, CO",UTC -7 (UTC -6 during Daylight Saving Time),81301,Open to the public,11/1946,no,DENVER CENTER,DENVER FLIGHT SERVICE STATION,"0400-2400
AFT HR - 970-259-7400.",9201 x 150 ft. / 2804 x 46 m,hangars and tiedowns,Publicly-owned,  ,Runway 3/21
DTO,"33-12-07.0580N 097-11-56.7510W
33-12.117633N 097-11.945850W
33.2019606,-97.1990975
(estimated)",642.7 ft. / 195.9 m (surveyed),04E (2010),"3 miles W of DENTON, TX",UTC -6 (UTC -5 during Daylight Saving Time),76207,Open to the public,12/1946,yes,FORT WORTH CENTER,FORT WORTH FLIGHT SERVICE STATION,0600-2200,100LL JET-A,,7002 x 150 ft. / 2134 x 46 m,5003 x 75 ft. / 1525 x 23 m,Runway 18L/36R
DUT,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
DVT,"33-41-17.9000N 112-04-57.2000W
33-41.298333N 112-04.953333W
33.6883056,-112.0825556
(estimated)",1478.1 ft. / 450.5 m (surveyed),12E (2000),"15 miles N of PHOENIX, AZ",UTC -7 (year round; does not observe DST),85027,Open to the public,09/1959,yes,ALBUQUERQUE CENTER,PRESCOTT FLIGHT SERVICE STATION,"CONTINUOUS
AIRPORT ADMINISTRATION HOURS: 0600-2100.","8196 x 100 ft. / 2498 x 30 m
HAS A 140 FT STOPWAY EAST END & 154 FT STOPWAY WEST END.",hangars and tiedowns,4500 x 75 ft. / 1372 x 23 m,Publicly-owned,Runway 7R/25L
DZB,"30-31-37.3850N 098-21-31.5250W
30-31.623083N 098-21.525417W
30.5270514,-98.3587569
(estimated)",1093 ft. / 333.1 m (surveyed),07E (1990),UTC -6 (UTC -5 during Daylight Saving Time),78657,nan,Open to the public,02/1972,no,HOUSTON CENTER,SAN ANGELO FLIGHT SERVICE STATION,0700-1900,5977 x 100 ft. / 1822 x 30 m,hangars and tiedowns,Privately-owned,  ,Runway 17/35
E25,"33-58-14.2656N 112-47-42.3233W
33-58.237760N 112-47.705388W
33.9706293,-112.7950898
(estimated)",2378.6 ft. / 725.0 m (surveyed),13E (1985),"3 miles W of WICKENBURG, AZ",UTC -7 (year round; does not observe DST),85390,Open to the public,05/1969,no,ALBUQUERQUE CENTER,PRESCOTT FLIGHT SERVICE STATION,"TUE-SAT 0700-1600
AFTER HRS CTC (928) 232-0397",6101 x 75 ft. / 1860 x 23 m,tiedowns,Publicly-owned,  ,Runway 5/23
EAR,"40-43-37.3460N 099-00-24.3720W
40-43.622433N 099-00.406200W
40.7270406,-99.0067700
(estimated)",2131.8 ft. / 649.8 m (surveyed),05E (2020),"4 miles NE of KEARNEY, NE",UTC -6 (UTC -5 during Daylight Saving Time),68847,Open to the public,03/1943,no,MINNEAPOLIS CENTER,COLUMBUS FLIGHT SERVICE STATION,0600-2000,7094 x 100 ft. / 2162 x 30 m,hangars and tiedowns,4498 x 75 ft. / 1371 x 23 m,Publicly-owned,Runway 18/36
EAT,"47-23-55.7000N 120-12-24.6000W
47-23.928333N 120-12.410000W
47.3988056,-120.2068333
(estimated)",1248.9 ft. / 380.7 m (surveyed),15E (2020),"4 miles E of WENATCHEE, WA",UTC -8 (UTC -7 during Daylight Saving Time),98802,Open to the public,08/1942,no,SEATTLE CENTER,SEATTLE FLIGHT SERVICE STATION,0800-1800,7000 x 150 ft. / 2134 x 46 m,tiedowns,Publicly-owned,  ,Runway 12/30
ECP,"30-21-29.6670N 085-47-44.1680W
30-21.494450N 085-47.736133W
30.3582408,-85.7956022
(estimated)",68.8 ft. / 21.0 m (surveyed),03W (2010),"16 miles NW of PANAMA CITY, FL",UTC -6 (UTC -5 during Daylight Saving Time),32409,Open to the public,02/2010,yes,JACKSONVILLE CENTER,GAINESVILLE FLIGHT SERVICE STATION,CONTINUOUS,Publicly-owned,"concrete/grooved, in excellent condition",  ,MIL VIP ARR/DEP SHALL BE AT ARPT TERM WITH PRIOR APVL FM ARPT AUTH - 850-763-6751 EXT 306.,Runway 16/34
EDF,"61-15-04.8715N 149-48-23.4924W
61-15.081192N 149-48.391540W
61.2513532,-149.8065257
(estimated)",213 ft. / 64.9 m (surveyed),18E (2015),"3 miles NE of ANCHORAGE, AK",UTC -9 (UTC -8 during Daylight Saving Time),99506,Private use. Permission required prior to landing,03/1949,yes,ANCHORAGE CENTER,KENAI FLIGHT SERVICE STATION [907-283-7211],CONTINUOUS,10000 x 200 ft. / 3048 x 61 m,nan,7493 x 150 ft. / 2284 x 46 m,U.S. Air Force,Runway 6/24
