airport_numbers,location,elevation,variation,from_city,time_zone,zipcode,airport_use,activation_date,control_tower,artcc,fss,attendance,fueltype,parking,ownership1,ownership2,runway
LFT,"30-12-18.1000N 091-59-15.9000W
30-12.301667N 091-59.265000W
30.2050278,-91.9877500
(estimated)",41.7 ft. / 12.7 m (surveyed),03E (1990),"2 miles SE of LAFAYETTE, LA",UTC -6 (UTC -5 during Daylight Saving Time),70508,Open to the public,04/1940,yes,HOUSTON CENTER,DE RIDDER FLIGHT SERVICE STATION,CONTINUOUS,"100LL JET-A JET-A+
A+:CALL 337-234-3100.",,8000 x 150 ft. / 2438 x 46 m,5400 x 148 ft. / 1646 x 45 m,Runway 4R/22L
LGB,"33-49-04.5470N 118-09-06.8060W
33-49.075783N 118-09.113433W
33.8179297,-118.1518906
(estimated)",60.4 ft. / 18.4 m (surveyed),14E (1980),"3 miles NE of LONG BEACH, CA",UTC -8 (UTC -7 during Daylight Saving Time),90712,Open to the public,04/1940,yes,LOS ANGELES CENTER,HAWTHORNE FLIGHT SERVICE STATION,CONTINUOUS,10000 x 200 ft. / 3048 x 61 m,hangars and tiedowns,6192 x 150 ft. / 1887 x 46 m,3918 x 100 ft. / 1194 x 30 m,Runway 12/30
LGD,"45-17-20.6810N 118-00-22.0460W
45-17.344683N 118-00.367433W
45.2890781,-118.0061239
(estimated)",2717.6 ft. / 828.3 m (surveyed),14E (2020),"4 miles SE of LA GRANDE, OR",UTC -8 (UTC -7 during Daylight Saving Time),97850,Open to the public,03/1940,no,SEATTLE CENTER,MC MINNVILLE FLIGHT SERVICE STATION,"0800-1700
CLOSED THANKSGIVING, CHRISTMAS AND NEW YEARS.
AFTER HOURS CALL OUT LIST POSTED ON DOOR.",100LL JET-A,,6261 x 100 ft. / 1908 x 30 m,3400 x 75 ft. / 1036 x 23 m,Runway 12/30
LHM,"38-54-33.0000N 121-21-04.8000W
38-54.550000N 121-21.080000W
38.9091667,-121.3513333
(estimated)",121.4 ft. / 37.0 m (surveyed),14E (2010),"3 miles W of LINCOLN, CA",UTC -8 (UTC -7 during Daylight Saving Time),95648,Open to the public,07/1944,no,OAKLAND CENTER,RANCHO MURIETA FLIGHT SERVICE STATION,MON-FRI 0630 - 1500,6001 x 100 ft. / 1829 x 30 m,tiedowns,60 x 60 ft. / 18 x 18 m,Publicly-owned,Runway 15/33
LIT,"34-43-45.9890N 092-13-29.1980W
34-43.766483N 092-13.486633W
34.7294414,-92.2247772
(estimated)",266 ft. / 81.1 m (surveyed),00E (2020),"2 miles E of LITTLE ROCK, AR",UTC -6 (UTC -5 during Daylight Saving Time),72202,Open to the public,04/1940,yes,MEMPHIS CENTER,JONESBORO FLIGHT SERVICE STATION,CONTINUOUS,100LL JET-A,,8273 x 150 ft. / 2522 x 46 m,8251 x 150 ft. / 2515 x 46 m,Runway 4L/22R
LKV,"42-09-40.0000N 120-23-56.7000W
42-09.666667N 120-23.945000W
42.1611111,-120.3990833
(estimated)",4734.1 ft. / 1443.0 m (surveyed),14E (2015),"3 miles SW of LAKEVIEW, OR",UTC -8 (UTC -7 during Daylight Saving Time),97630,Open to the public,12/1943,no,SEATTLE CENTER,MC MINNVILLE FLIGHT SERVICE STATION,"APR-SEP 0900-1600, OCT-MAR 0700-1700",5318 x 100 ft. / 1621 x 30 m,tiedowns,Publicly-owned,  ,Runway 17/35
LLJ,"44-31-24.9840N 114-13-04.5780W
44-31.416400N 114-13.076300W
44.5236067,-114.2179383
(estimated)",5075.9 ft. / 1547.1 m (surveyed),17E (1985),"1 mile NE of CHALLIS, ID",UTC -7 (UTC -6 during Daylight Saving Time),83226,Open to the public,04/1940,no,SALT LAKE CITY CENTER,BOISE FLIGHT SERVICE STATION,MON-FRI 0700-1700,4601 x 60 ft. / 1402 x 18 m,tiedowns,Publicly-owned,  ,Runway 17/35
LMT,"42-09-22.1180N 121-43-59.5370W
42-09.368633N 121-43.992283W
42.1561439,-121.7332047
(estimated)",4095.4 ft. / 1248.3 m (surveyed),17E (1990),"4 miles SE of KLAMATH FALLS, OR",UTC -8 (UTC -7 during Daylight Saving Time),97603,Open to the public,11/1937,yes,SEATTLE CENTER,MC MINNVILLE FLIGHT SERVICE STATION,"MON-FRI 0630-1700, ALL SAT-SUN UNATNDD
AND FEDERAL HOL.",10302 x 150 ft. / 3140 x 46 m,hangars and tiedowns,5258 x 100 ft. / 1603 x 30 m,Publicly-owned,Runway 14/32
LND,"42-48-55.3850N 108-43-42.8270W
42-48.923083N 108-43.713783W
42.8153847,-108.7285631
(estimated)",5588.9 ft. / 1703.5 m (surveyed),10E (2020),"1 mile S of LANDER, WY",UTC -7 (UTC -6 during Daylight Saving Time),82520,Open to the public,11/1937,no,SALT LAKE CITY CENTER,CASPER FLIGHT SERVICE STATION,"0600-1600
FOR SERVICE AFT HRS CALL 307-330-8668.",5000 x 75 ft. / 1524 x 23 m,hangars and tiedowns,Publicly-owned,  ,Runway 4/22
LNK,"40-51-03.2000N 096-45-32.8000W
40-51.053333N 096-45.546667W
40.8508889,-96.7591111
(estimated)",1218.6 ft. / 371.4 m (surveyed),03E (2015),"4 miles NW of LINCOLN, NE",UTC -6 (UTC -5 during Daylight Saving Time),68524,Open to the public,04/1940,yes,MINNEAPOLIS CENTER,COLUMBUS FLIGHT SERVICE STATION,CONTINUOUS,100LL JET-A,,12901 x 200 ft. / 3932 x 61 m,8649 x 150 ft. / 2636 x 46 m,Runway 18/36
LOL,"40-03-59.2829N 118-33-54.3100W
40-03.988048N 118-33.905167W
40.0664675,-118.5650861
(estimated)",3907.6 ft. / 1191.0 m (surveyed),14E (2010),"8 miles SW of LOVELOCK, NV",UTC -8 (UTC -7 during Daylight Saving Time),89419,Open to the public,10/1943,no,OAKLAND CENTER,RENO FLIGHT SERVICE STATION,UNATNDD,5529 x 75 ft. / 1685 x 23 m,tiedowns,4931 x 75 ft. / 1503 x 23 m,Publicly-owned,Runway 2/20
LOZ,"37-05-12.8000N 084-04-38.6000W
37-05.213333N 084-04.643333W
37.0868889,-84.0773889
(estimated)",1212.3 ft. / 369.5 m (surveyed),05W (2005),"3 miles S of LONDON, KY",UTC -5 (UTC -4 during Daylight Saving Time),40744,Open to the public,10/1948,no,INDIANAPOLIS CENTER,LOUISVILLE FLIGHT SERVICE STATION,"APR-OCT MON-FRI 0700-2000, APR-OCT SAT-SUN 0800-2000, NOV-MAR MON-FRI 0700-1900, NOV-MAR SAT-SUN 0800-1900",100LL JET-A+,,5751 x 150 ft. / 1753 x 46 m,Publicly-owned,Runway 6/24
LSE,"43-52-45.3564N 091-15-23.8810W
43-52.755940N 091-15.398017W
43.8792657,-91.2566336
(estimated)",655.4 ft. / 199.8 m (surveyed),01W (2015),"4 miles NW of LA CROSSE, WI",UTC -6 (UTC -5 during Daylight Saving Time),54603,Open to the public,02/1938,yes,MINNEAPOLIS CENTER,GREEN BAY FLIGHT SERVICE STATION,"0600-2100
FOR ATTENDANT OTHER HOURS CALL 608-783-8359.",100LL JET-A,,8742 x 150 ft. / 2665 x 46 m,6050 x 150 ft. / 1844 x 46 m,Runway 18/36
LTY,"48-30-38.6000N 110-59-27.1100W
48-30.643333N 110-59.451833W
48.5107222,-110.9908639
(estimated)",3184.8 ft. / 971 m (estimated),14E (2005),"1 mile W of CHESTER, MT",UTC -7 (UTC -6 during Daylight Saving Time),59522,Open to the public,11/1947,no,SALT LAKE CITY CENTER,GREAT FALLS FLIGHT SERVICE STATION,"MAR-NOV MON-FRI 0800-1700, DEC-FEB/IREG/",1710 x 60 ft. / 521 x 18 m,"asphalt/porous friction courses, in excellent condition",Publicly-owned,  ,Runway 7/25
LUD,"33-15-15.3000N 097-34-49.8000W
33-15.255000N 097-34.830000W
33.2542500,-97.5805000
(estimated)",1046.7 ft. / 319.0 m (surveyed),09E (2000),"2 miles N of DECATUR, TX",UTC -6 (UTC -5 during Daylight Saving Time),76234,Open to the public,01/1947,no,FORT WORTH CENTER,FORT WORTH FLIGHT SERVICE STATION,0800-1700,4200 x 60 ft. / 1280 x 18 m,hangars and tiedowns,Publicly-owned,  ,Runway 17/35
LUK,"39-06-12.0000N 084-25-07.0000W
39-06.200000N 084-25.116667W
39.1033333,-84.4186111
(estimated)",483.3 ft. / 147.3 m (surveyed),04W (1990),"3 miles SE of CINCINNATI, OH",UTC -5 (UTC -4 during Daylight Saving Time),45226,Open to the public,yes,INDIANAPOLIS CENTER,DAYTON FLIGHT SERVICE STATION,LUK (NOTAM-D service available),lighted,"100LL JET-A+
A+:A+ C513-871-2020.",,6101 x 150 ft. / 1860 x 46 m,5127 x 100 ft. / 1563 x 30 m,Runway 3R/21L
LVK,"37-41-36.2000N 121-49-13.3000W
37-41.603333N 121-49.221667W
37.6933889,-121.8203611
(estimated)",399.9 ft. / 121.9 m (surveyed),16E (1980),"3 miles W of LIVERMORE, CA",UTC -8 (UTC -7 during Daylight Saving Time),94550,Open to the public,12/1965,yes,OAKLAND CENTER,OAKLAND FLIGHT SERVICE STATION,"MON-FRI 0730-1700, ALL SAT-SUN 0700-1100",5253 x 100 ft. / 1601 x 30 m,tiedowns,2699 x 75 ft. / 823 x 23 m,24 x 22 ft. / 7 x 7 m,Runway 7L/25R
LVS,"35-39-15.2000N 105-08-32.6000W
35-39.253333N 105-08.543333W
35.6542222,-105.1423889
(estimated)",6877.2 ft. / 2096.2 m (surveyed),13E (1965),"5 miles NE of LAS VEGAS, NM",UTC -7 (UTC -6 during Daylight Saving Time),87701,Open to the public,12/1946,no,ALBUQUERQUE CENTER,ALBUQUERQUE FLIGHT SERVICE STATION,"MON-FRI 0800-1700
IF ARPT ATTENDANT UNAVBL CALL 505-429-3198 (EMERGENCY) OR LAS VEGAS POLICE DISPATCH AT 505-425-7504.",8199 x 75 ft. / 2499 x 23 m,hangars and tiedowns,5006 x 75 ft. / 1526 x 23 m,Publicly-owned,Runway 14/32
LWA,"42-21-04.7750N 086-15-20.6550W
42-21.079583N 086-15.344250W
42.3513264,-86.2557375
(estimated)",665.5 ft. / 202.8 m (surveyed),03W (1985),"3 miles S of SOUTH HAVEN, MI",UTC -5 (UTC -4 during Daylight Saving Time),49090,Open to the public,10/1944,no,CHICAGO CENTER,LANSING FLIGHT SERVICE STATION,0900-1700,4800 x 75 ft. / 1463 x 23 m,tiedowns,3260 x 190 ft. / 994 x 58 m,Publicly-owned,Runway 5/23
LWS,"46-22-28.1950N 117-00-55.4270W
46-22.469917N 117-00.923783W
46.3744986,-117.0153964
(estimated)",1442.1 ft. / 439.6 m (surveyed),15E (2010),"2 miles S of LEWISTON, ID",UTC -8 (UTC -7 during Daylight Saving Time),83501,Open to the public,07/1944,yes,SEATTLE CENTER,BOISE FLIGHT SERVICE STATION,0530-2100,6511 x 150 ft. / 1985 x 46 m,hangars and tiedowns,5003 x 75 ft. / 1525 x 23 m,Publicly-owned,Runway 8/26
LWT,"47-02-57.3000N 109-28-00.1000W
47-02.955000N 109-28.001667W
47.0492500,-109.4666944
(estimated)",4170.4 ft. / 1271.1 m (surveyed),11E (2020),"2 miles SW of LEWISTOWN, MT",UTC -7 (UTC -6 during Daylight Saving Time),59457,Open to the public,04/1940,no,SALT LAKE CITY CENTER,GREAT FALLS FLIGHT SERVICE STATION,MON-FRI 0800-1700,6100 x 100 ft. / 1859 x 30 m,hangars and tiedowns,5600 x 101 ft. / 1707 x 31 m,4102 x 62 ft. / 1250 x 19 m,Runway 8/26
LZU,"33-58-41.1310N 083-57-44.5100W
33-58.685517N 083-57.741833W
33.9780919,-83.9623639
(estimated)",1061.5 ft. / 323.5 m (surveyed),05W (2010),"2 miles NE of LAWRENCEVILLE, GA",UTC -5 (UTC -4 during Daylight Saving Time),30045,Open to the public,10/1963,yes,ATLANTA CENTER,MACON FLIGHT SERVICE STATION,CONTINUOUS,100LL JET-A+,,6001 x 100 ft. / 1829 x 30 m,Publicly-owned,Runway 7/25
M02,"36-07-40.6440N 087-25-47.4230W
36-07.677400N 087-25.790383W
36.1279567,-87.4298397
(estimated)",892.1 ft. / 271.9 m (surveyed),01W (1995),"3 miles N of DICKSON, TN",UTC -6 (UTC -5 during Daylight Saving Time),37055,Open to the public,no,MEMPHIS CENTER,JACKSON FLIGHT SERVICE STATION,MKL (NOTAM-D service available),lighted,5001 x 75 ft. / 1524 x 23 m,tiedowns,Publicly-owned,  ,Runway 17/35
M17,"37-35-45.9850N 093-20-51.7150W
37-35.766417N 093-20.861917W
37.5961069,-93.3476986
(estimated)",1092.3 ft. / 332.9 m (surveyed),03E (2000),"4 miles E of BOLIVAR, MO",UTC -6 (UTC -5 during Daylight Saving Time),65613,Open to the public,04/1996,no,KANSAS CITY CENTER,COLUMBIA FLIGHT SERVICE STATION,MON-SAT 0800-1700,4000 x 75 ft. / 1219 x 23 m,tiedowns,Publicly-owned,  ,Runway 18/36
M25,"36-46-10.7000N 088-35-04.8000W
36-46.178333N 088-35.080000W
36.7696389,-88.5846667
(estimated)",522.3 ft. / 159.2 m (surveyed),02W (2015),"3 miles NE of MAYFIELD, KY",UTC -6 (UTC -5 during Daylight Saving Time),42066,Open to the public,12/1945,no,MEMPHIS CENTER,LOUISVILLE FLIGHT SERVICE STATION,0700-1500,"100LL JET-A+
100LL:FUEL 24 HR CREDIT CARD SVC AVBL.",,5002 x 100 ft. / 1525 x 30 m,Publicly-owned,Runway 1/19
M29,"35-22-58.9240N 087-58-05.7640W
35-22.982067N 087-58.096067W
35.3830344,-87.9682678
(estimated)",406.6 ft. / 123.9 m (surveyed),01E (1985),"1 mile E of CLIFTON, TN",UTC -6 (UTC -5 during Daylight Saving Time),38425,Open to the public,02/1947,no,MEMPHIS CENTER,JACKSON FLIGHT SERVICE STATION,UNATNDD,Publicly-owned,"asphalt, in good condition",  ,FOR CD CTC MEMPHIS ARTCC AT 901-368-8453/8449.,Runway 3/21
M54,"36-11-25.4804N 086-18-56.4855W
36-11.424673N 086-18.941425W
36.1904112,-86.3156904
(estimated)",588.4 ft. / 179.3 m (surveyed),02W (1995),"2 miles SW of LEBANON, TN",UTC -6 (UTC -5 during Daylight Saving Time),37090,Open to the public,10/1939,no,MEMPHIS CENTER,NASHVILLE FLIGHT SERVICE STATION,"OCT - FEB 0700-1700, MAR - SEP 0700-1900
SVC AFT HR - AMGR.
CLSD EASTER, THANKSGIVING, CHRISTMAS & NEW YEARS DAY.",100LL JET-A,,5000 x 100 ft. / 1524 x 30 m,1801 x 150 ft. / 549 x 46 m,Runway 1/19
MAF,"31-56-33.1000N 102-12-06.9000W
31-56.551667N 102-12.115000W
31.9425278,-102.2019167
(estimated)",2872.1 ft. / 875.4 m (surveyed),09E (1985),"8 miles SW of MIDLAND, TX",UTC -6 (UTC -5 during Daylight Saving Time),79706,Open to the public,09/1937,yes,FORT WORTH CENTER,SAN ANGELO FLIGHT SERVICE STATION,CONTINUOUS,100LL JET-A JET-A1,,9501 x 150 ft. / 2896 x 46 m,"8302 x 150 ft. / 2530 x 46 m
EAST 692 FT CLSD TO ACFT OVER 60000 LBS.",Runway 16R/34L
MAN,"43-34-52.8280N 116-31-23.0270W
43-34.880467N 116-31.383783W
43.5813411,-116.5230631
(estimated)",2537 ft. / 773.3 m (surveyed),16E (2000),UTC -7 (UTC -6 during Daylight Saving Time),83687,nan,Open to the public,04/1946,no,SALT LAKE CITY CENTER,BOISE FLIGHT SERVICE STATION,0800-1700,5000 x 75 ft. / 1524 x 23 m,tiedowns,Publicly-owned,  ,Runway 11/29
MBY,"39-27-47.4130N 092-25-33.2040W
39-27.790217N 092-25.553400W
39.4631703,-92.4258900
(estimated)",866.8 ft. / 264.2 m (surveyed),01E (2010),"3 miles N of MOBERLY, MO",UTC -6 (UTC -5 during Daylight Saving Time),65270,Open to the public,04/1940,no,KANSAS CITY CENTER,COLUMBIA FLIGHT SERVICE STATION,0800-1700,5000 x 75 ft. / 1524 x 23 m,hangars and tiedowns,3350 x 60 ft. / 1021 x 18 m,Publicly-owned,Runway 13/31
MCC,"38-40-03.5000N 121-24-02.2000W
38-40.058333N 121-24.036667W
38.6676389,-121.4006111
(estimated)",76.8 ft. / 23.4 m (surveyed),17E (1975),"6 miles NE of SACRAMENTO, CA",UTC -8 (UTC -7 during Daylight Saving Time),95660,Open to the public,05/1941,no,OAKLAND CENTER,RANCHO MURIETA FLIGHT SERVICE STATION,CONTINUOUS,10599 x 150 ft. / 3231 x 46 m,hangars and tiedowns,57 x 57 ft. / 17 x 17 m,57 x 57 ft. / 17 x 17 m,Runway 16/34
MCE,"37-17-05.1000N 120-30-50.1000W
37-17.085000N 120-30.835000W
37.2847500,-120.5139167
(estimated)",155.2 ft. / 47.3 m (surveyed),15E (2000),"2 miles SW of MERCED, CA",UTC -8 (UTC -7 during Daylight Saving Time),95340,Open to the public,04/1928,no,OAKLAND CENTER,RANCHO MURIETA FLIGHT SERVICE STATION,0600-1800,5914 x 150 ft. / 1803 x 46 m,tiedowns,Publicly-owned,  ,Runway 12/30
MCG,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
MCO,"28-25-45.8000N 081-18-32.4000W
28-25.763333N 081-18.540000W
28.4293889,-81.3090000
(estimated)",96.4 ft. / 29.4 m (surveyed),06W (2015),"6 miles SE of ORLANDO, FL",UTC -5 (UTC -4 during Daylight Saving Time),32827,Open to the public,06/1941,yes,JACKSONVILLE CENTER,SAINT PETERSBURG FLIGHT SERVICE STATION,CONTINUOUS,12005 x 200 ft. / 3659 x 61 m,hangars and tiedowns,12004 x 200 ft. / 3659 x 61 m,10000 x 150 ft. / 3048 x 46 m,Runway 18L/36R
MEI,"32-19-57.4000N 088-45-06.7000W
32-19.956667N 088-45.111667W
32.3326111,-88.7518611
(estimated)",298 ft. / 90.8 m (surveyed),02W (2015),"3 miles SW of MERIDIAN, MS",UTC -6 (UTC -5 during Daylight Saving Time),39307,Open to the public,04/1940,yes,MEMPHIS CENTER,GREENWOOD FLIGHT SERVICE STATION,"0600-2200
FOR ATTENDANT AFT HRS CALL 601-693-7282.",10003 x 150 ft. / 3049 x 46 m,hangars and tiedowns,4599 x 150 ft. / 1402 x 46 m,Publicly-owned,Runway 1/19
MER,"37-22-49.7440N 120-34-05.4710W
37-22.829067N 120-34.091183W
37.3804844,-120.5681864
(estimated)",190.4 ft. / 58.0 m (surveyed),15E (2000),"3 miles NE of ATWATER, CA",UTC -8 (UTC -7 during Daylight Saving Time),95301,Open to the public,07/1942,yes,OAKLAND CENTER,RANCHO MURIETA FLIGHT SERVICE STATION,0900-1800,11802 x 150 ft. / 3597 x 46 m,hangars and tiedowns,Publicly-owned,  ,Runway 13/31
MEV,"39-00-01.8000N 119-45-04.0000W
39-00.030000N 119-45.066667W
39.0005000,-119.7511111
(estimated)",4723.6 ft. / 1439.8 m (surveyed),15E (2000),"4 miles N of MINDEN, NV",UTC -8 (UTC -7 during Daylight Saving Time),89423,Open to the public,12/1942,no,OAKLAND CENTER,RENO FLIGHT SERVICE STATION,0800-1700,7399 x 100 ft. / 2255 x 30 m,hangars and tiedowns,5299 x 75 ft. / 1615 x 23 m,2050 x 60 ft. / 625 x 18 m,Runway 16/34
MFR,"42-22-29.8730N 122-52-23.8350W
42-22.497883N 122-52.397250W
42.3749647,-122.8732875
(estimated)",1335.3 ft. / 407.0 m (surveyed),16E (2010),"3 miles N of MEDFORD, OR",UTC -8 (UTC -7 during Daylight Saving Time),97502,Open to the public,yes,SEATTLE CENTER,MC MINNVILLE FLIGHT SERVICE STATION,MFR (NOTAM-D service available),"2304.3 ft. MSL
969 FT AGL FOR PROPELLER ACFT; 1469 FT AGL FOR TURBO ACFT.","100LL JET-A JET-A+
100LL:FOR FUEL AFTER HOURS CALL 541-842-2254.",,8800 x 150 ft. / 2682 x 46 m,Publicly-owned,Runway 14/32
MHR,"38-33-19.1190N 121-17-49.9610W
38-33.318650N 121-17.832683W
38.5553108,-121.2972114
(estimated)",98.3 ft. / 30.0 m (surveyed),13E (2020),"10 miles E of SACRAMENTO, CA",UTC -8 (UTC -7 during Daylight Saving Time),95655,Open to the public,07/1942,yes,OAKLAND CENTER,RANCHO MURIETA FLIGHT SERVICE STATION,"MON 0500-2330, ALL TUE-FRI 0300-2330, ALL SAT 0300-2100, ALL SUN 0500-2100",11301 x 150 ft. / 3445 x 46 m,hangars and tiedowns,6081 x 150 ft. / 1853 x 46 m,100 x 100 ft. / 30 x 30 m,Runway 4R/22L
MIA,"25-47-43.3000N 080-17-24.4170W
25-47.721667N 080-17.406950W
25.7953611,-80.2901158
(estimated)",9.3 ft. / 2.8 m (surveyed),05W (2000),"8 miles NW of MIAMI, FL",UTC -5 (UTC -4 during Daylight Saving Time),33126,Open to the public,04/1940,yes,MIAMI CENTER,MIAMI FLIGHT SERVICE STATION,CONTINUOUS,13016 x 150 ft. / 3967 x 46 m,hangars and tiedowns,10506 x 200 ft. / 3202 x 61 m,9360 x 150 ft. / 2853 x 46 m,Runway 9/27
MIT,"35-30-26.9200N 119-11-31.6700W
35-30.448667N 119-11.527833W
35.5074778,-119.1921306
(estimated)",424.8 ft. / 129.5 m (surveyed),13E (2010),"4 miles E of SHAFTER, CA",UTC -8 (UTC -7 during Daylight Saving Time),93263,Open to the public,03/1948,no,LOS ANGELES CENTER,RANCHO MURIETA FLIGHT SERVICE STATION,MON-FRI 0800-1700,100LL JET-A,,4501 x 100 ft. / 1372 x 30 m,3680 x 60 ft. / 1122 x 18 m,Runway 12/30
MKC,"39-07-22.6000N 094-35-34.2000W
39-07.376667N 094-35.570000W
39.1229444,-94.5928333
(estimated)",756.8 ft. / 230.7 m (surveyed),01E (2020),UTC -6 (UTC -5 during Daylight Saving Time),64116,nan,Open to the public,04/1940,yes,KANSAS CITY CENTER,COLUMBIA FLIGHT SERVICE STATION,CONTINUOUS,6827 x 150 ft. / 2081 x 46 m,hangars and tiedowns,5050 x 100 ft. / 1539 x 30 m,Publicly-owned,Runway 1/19
MKJS,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
MKL,"35-35-59.5700N 088-54-56.2030W
35-35.992833N 088-54.936717W
35.5998806,-88.9156119
(estimated)",433.3 ft. / 132.1 m (surveyed),01W (2010),"4 miles W of JACKSON, TN",UTC -6 (UTC -5 during Daylight Saving Time),38301,Open to the public,07/1942,yes,MEMPHIS CENTER,JACKSON FLIGHT SERVICE STATION,"MON-FRI 0600-2030, ALL SAT-SUN 0700-1930
AFT HR - 731-394-1755.",6005 x 150 ft. / 1830 x 46 m,hangars and tiedowns,3539 x 100 ft. / 1079 x 30 m,Publicly-owned,Runway 2/20
MKT,"44-13-22.0000N 093-55-09.5000W
44-13.366667N 093-55.158333W
44.2227778,-93.9193056
(estimated)",1020.8 ft. / 311.1 m (surveyed),04E (1985),"5 miles NE of MANKATO, MN",UTC -6 (UTC -5 during Daylight Saving Time),56001,Open to the public,11/1971,no,MINNEAPOLIS CENTER,PRINCETON FLIGHT SERVICE STATION,"MON-FRI 0700-2000, ALL SAT-SUN 0800-1900",6600 x 100 ft. / 2012 x 30 m,hangars and tiedowns,4000 x 75 ft. / 1219 x 23 m,Publicly-owned,Runway 15/33
MKY,"25-59-42.1000N 081-40-21.1000W
25-59.701667N 081-40.351667W
25.9950278,-81.6725278
(estimated)",5.2 ft. / 1.6 m (surveyed),03W (1995),"4 miles NE of MARCO ISLAND, FL",UTC -5 (UTC -4 during Daylight Saving Time),34114,Open to the public,no,MIAMI CENTER,MIAMI FLIGHT SERVICE STATION,MIA (NOTAM-D service available),lighted,5000 x 100 ft. / 1524 x 30 m,tiedowns,Publicly-owned,  ,Runway 17/35
MLB,"28-06-09.9000N 080-38-42.9000W
28-06.165000N 080-38.715000W
28.1027500,-80.6452500
(estimated)",33.3 ft. / 10.1 m (surveyed),07W (2015),"2 miles NW of MELBOURNE, FL",UTC -5 (UTC -4 during Daylight Saving Time),32935,Open to the public,04/1940,yes,JACKSONVILLE CENTER,SAINT PETERSBURG FLIGHT SERVICE STATION,CONTINUOUS,"10181 x 150 ft. / 3103 x 46 m
400 FT BLAST PAD BOTH RWY ENDS.",hangars and tiedowns,6000 x 150 ft. / 1829 x 46 m,3001 x 75 ft. / 915 x 23 m,Runway 9R/27L
